No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.7,192.168.11.28,TCP,74,0,,,53788  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=892164689 TSecr=0 WS=128
2,0.006774,192.168.11.28,192.168.11.7,TCP,74,0.006774,,,"6000  >  53788 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2938708551 TSecr=892164689 WS=128"
3,0.006881,192.168.11.7,192.168.11.28,TCP,66,0.000107,,,53788  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=892164698 TSecr=2938708551
4,0.00709,192.168.11.7,192.168.11.28,TCP,93,0.000209,,,"53788  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=892164698 TSecr=2938708551 [TCP segment of a reassembled PDU]"
5,0.007214,192.168.11.7,192.168.11.28,TCP,66,0.000124,,,"53788  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=892164698 TSecr=2938708551"
6,0.01435,192.168.11.28,192.168.11.7,TCP,66,0.007136,,,6000  >  53788 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2938708558 TSecr=892164698
7,0.014693,192.168.11.28,192.168.11.7,TCP,66,0.000343,,,"6000  >  53788 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2938708560 TSecr=892164698"
8,0.014733,192.168.11.7,192.168.11.28,TCP,66,0.00004,,,53788  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=892164706 TSecr=2938708560
9,0.041803,192.168.11.7,255.255.255.255,UDP,209,0.02707,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226b6b6b222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,57676  >  7000 Len=167
10,0.059873,192.168.11.26,192.168.11.7,TCP,74,0.01807,œ,,60626  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=409317080 TSecr=0 WS=128
11,0.060095,192.168.11.7,192.168.11.26,TCP,74,0.000222,,,"6000  >  60626 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1255756042 TSecr=409317080 WS=128"
