No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.26,192.168.11.7,TCP,74,0,,,60626  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=409317080 TSecr=0 WS=128
2,0.01062,192.168.11.7,192.168.11.26,TCP,74,0.01062,,,"6000  >  60626 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1255756042 TSecr=409317080 WS=128"
3,0.010744,192.168.11.26,192.168.11.7,TCP,66,0.000124,,,60626  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=409317097 TSecr=1255756042
4,0.011011,192.168.11.26,192.168.11.7,TCP,93,0.000267,,,"60626  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=409317097 TSecr=1255756042 [TCP segment of a reassembled PDU]"
5,0.011142,192.168.11.26,192.168.11.7,TCP,66,0.000131,,,"60626  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=409317097 TSecr=1255756042"
6,0.01988,192.168.11.7,192.168.11.26,TCP,66,0.008738,,,6000  >  60626 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1255756052 TSecr=409317097
7,0.0201,192.168.11.7,192.168.11.26,TCP,66,0.00022,,,"6000  >  60626 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1255756053 TSecr=409317097"
8,0.020169,192.168.11.26,192.168.11.7,TCP,66,0.000069,,,60626  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=409317106 TSecr=1255756053
9,0.053032,192.168.11.26,255.255.255.255,UDP,209,0.032863,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226c6c6c222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,33484  >  7000 Len=167
10,0.06794,192.168.11.25,192.168.11.26,TCP,74,0.014908,œ,,46750  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=740743762 TSecr=0 WS=128
11,0.0681,192.168.11.26,192.168.11.25,TCP,74,0.00016,,,"6000  >  46750 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=935810242 TSecr=740743762 WS=128"
12,0.076445,192.168.11.25,192.168.11.26,TCP,66,0.008345,,,46750  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=740743776 TSecr=935810242
13,0.07695,192.168.11.25,192.168.11.26,TCP,93,0.000505,,,"46750  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=740743776 TSecr=935810242 [TCP segment of a reassembled PDU]"
14,0.077035,192.168.11.26,192.168.11.25,TCP,66,0.000085,,,6000  >  46750 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=935810251 TSecr=740743776
15,0.077106,192.168.11.25,192.168.11.26,TCP,66,0.000071,,,"46750  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=740743777 TSecr=935810242"
