No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.25,192.168.11.26,TCP,74,0,,,46750  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=740743762 TSecr=0 WS=128
2,0.009243,192.168.11.26,192.168.11.25,TCP,74,0.009243,,,"6000  >  46750 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=935810242 TSecr=740743762 WS=128"
3,0.009357,192.168.11.25,192.168.11.26,TCP,66,0.000114,,,46750  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=740743776 TSecr=935810242
4,0.009579,192.168.11.25,192.168.11.26,TCP,93,0.000222,,,"46750  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=740743776 TSecr=935810242 [TCP segment of a reassembled PDU]"
5,0.00973,192.168.11.25,192.168.11.26,TCP,66,0.000151,,,"46750  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=740743777 TSecr=935810242"
6,0.01763,192.168.11.26,192.168.11.25,TCP,66,0.0079,,,6000  >  46750 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=935810251 TSecr=740743776
7,0.020216,192.168.11.26,192.168.11.25,TCP,66,0.002586,,,"6000  >  46750 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=935810253 TSecr=740743777"
8,0.020264,192.168.11.25,192.168.11.26,TCP,66,0.000048,,,46750  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=740743787 TSecr=935810253
9,0.052716,192.168.11.25,255.255.255.255,UDP,209,0.032452,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226d6d6d222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,57494  >  7000 Len=167
10,0.061309,192.168.11.4,192.168.11.25,TCP,74,0.008593,œ,,52794  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3164212649 TSecr=0 WS=128
11,0.061447,192.168.11.25,192.168.11.4,TCP,74,0.000138,,,"6000  >  52794 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3047249879 TSecr=3164212649 WS=128"
12,0.079424,192.168.11.4,192.168.11.25,TCP,66,0.017977,,,52794  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3164212658 TSecr=3047249879
13,0.080161,192.168.11.4,192.168.11.25,TCP,93,0.000737,,,"52794  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3164212659 TSecr=3047249879 [TCP segment of a reassembled PDU]"
14,0.080295,192.168.11.25,192.168.11.4,TCP,66,0.000134,,,6000  >  52794 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3047249898 TSecr=3164212659
15,0.080389,192.168.11.4,192.168.11.25,TCP,66,0.000094,,,"52794  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3164212659 TSecr=3047249879"
16,0.081875,192.168.11.25,192.168.11.4,TCP,66,0.001486,,,"6000  >  52794 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3047249900 TSecr=3164212659"
17,0.087662,192.168.11.4,192.168.11.25,TCP,66,0.005787,,,52794  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3164212678 TSecr=3047249900
18,7.319766,192.168.11.25,192.168.11.26,TCP,74,7.232104,,,36046  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=740751087 TSecr=0 WS=128
19,7.329061,192.168.11.26,192.168.11.25,TCP,74,0.009295,,,"6000  >  36046 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=935817562 TSecr=740751087 WS=128"
20,7.329165,192.168.11.25,192.168.11.26,TCP,66,0.000104,,,36046  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=740751096 TSecr=935817562
21,7.329377,192.168.11.25,192.168.11.26,TCP,93,0.000212,,,"36046  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=740751096 TSecr=935817562 [TCP segment of a reassembled PDU]"
22,7.329498,192.168.11.25,192.168.11.26,TCP,66,0.000121,,,"36046  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=740751096 TSecr=935817562"
23,7.345621,192.168.11.26,192.168.11.25,TCP,66,0.016123,,,6000  >  36046 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=935817579 TSecr=740751096
24,7.34598,192.168.11.26,192.168.11.25,TCP,66,0.000359,,,"6000  >  36046 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=935817580 TSecr=740751096"
25,7.346026,192.168.11.25,192.168.11.26,TCP,66,0.000046,,,36046  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=740751113 TSecr=935817580
26,7.379776,192.168.11.25,255.255.255.255,UDP,209,0.03375,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226d6d6d222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,43335  >  7000 Len=167
27,7.38632,192.168.11.4,192.168.11.25,TCP,74,0.006544,œ,,33888  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3164219976 TSecr=0 WS=128
28,7.386481,192.168.11.25,192.168.11.4,TCP,74,0.000161,,,"6000  >  33888 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3047257204 TSecr=3164219976 WS=128"
29,7.393383,192.168.11.4,192.168.11.25,TCP,66,0.006902,,,33888  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3164219984 TSecr=3047257204
30,7.394039,192.168.11.4,192.168.11.25,TCP,93,0.000656,,,"33888  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3164219984 TSecr=3047257204 [TCP segment of a reassembled PDU]"
31,7.39416,192.168.11.25,192.168.11.4,TCP,66,0.000121,,,6000  >  33888 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3047257212 TSecr=3164219984
32,7.394272,192.168.11.4,192.168.11.25,TCP,66,0.000112,,,"33888  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3164219984 TSecr=3047257204"
33,7.395739,192.168.11.25,192.168.11.4,TCP,66,0.001467,,,"6000  >  33888 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3047257214 TSecr=3164219984"
34,7.401799,192.168.11.4,192.168.11.25,TCP,66,0.00606,,,33888  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3164219992 TSecr=3047257214
35,14.676563,192.168.11.25,192.168.11.26,TCP,74,7.274764,,,51746  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=740758443 TSecr=0 WS=128
