No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.4,192.168.11.25,TCP,74,0,,,52794  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3164212649 TSecr=0 WS=128
2,0.006708,192.168.11.25,192.168.11.4,TCP,74,0.006708,,,"6000  >  52794 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3047249879 TSecr=3164212649 WS=128"
3,0.006825,192.168.11.4,192.168.11.25,TCP,66,0.000117,,,52794  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3164212658 TSecr=3047249879
4,0.007005,192.168.11.4,192.168.11.25,TCP,93,0.00018,,,"52794  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3164212659 TSecr=3047249879 [TCP segment of a reassembled PDU]"
5,0.007148,192.168.11.4,192.168.11.25,TCP,66,0.000143,,,"52794  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3164212659 TSecr=3047249879"
6,0.025777,192.168.11.25,192.168.11.4,TCP,66,0.018629,,,6000  >  52794 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3047249898 TSecr=3164212659
7,0.026219,192.168.11.25,192.168.11.4,TCP,66,0.000442,,,"6000  >  52794 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3047249900 TSecr=3164212659"
8,0.026277,192.168.11.4,192.168.11.25,TCP,66,0.000058,,,52794  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3164212678 TSecr=3047249900
9,0.052989,192.168.11.4,255.255.255.255,UDP,209,0.026712,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53227  >  7000 Len=167
10,0.061354,192.168.11.5,192.168.11.4,TCP,74,0.008365,œ,,46666  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2309407461 TSecr=0 WS=128
11,0.06149,192.168.11.4,192.168.11.5,TCP,74,0.000136,,,"6000  >  46666 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=58165499 TSecr=2309407461 WS=128"
12,0.069102,192.168.11.5,192.168.11.4,TCP,66,0.007612,,,46666  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2309407470 TSecr=58165499
13,0.069577,192.168.11.5,192.168.11.4,TCP,93,0.000475,,,"46666  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2309407470 TSecr=58165499 [TCP segment of a reassembled PDU]"
14,0.069649,192.168.11.4,192.168.11.5,TCP,66,0.000072,,,6000  >  46666 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=58165507 TSecr=2309407470
15,0.06971,192.168.11.5,192.168.11.4,TCP,66,0.000061,,,"46666  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2309407471 TSecr=58165499"
16,0.071161,192.168.11.4,192.168.11.5,TCP,66,0.001451,,,"6000  >  46666 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=58165509 TSecr=2309407471"
17,0.077516,192.168.11.5,192.168.11.4,TCP,66,0.006355,,,46666  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2309407479 TSecr=58165509
18,7.324784,192.168.11.4,192.168.11.25,TCP,74,7.247268,,,33888  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3164219976 TSecr=0 WS=128
19,7.331871,192.168.11.25,192.168.11.4,TCP,74,0.007087,,,"6000  >  33888 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3047257204 TSecr=3164219976 WS=128"
20,7.331986,192.168.11.4,192.168.11.25,TCP,66,0.000115,,,33888  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3164219984 TSecr=3047257204
21,7.332123,192.168.11.4,192.168.11.25,TCP,93,0.000137,,,"33888  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3164219984 TSecr=3047257204 [TCP segment of a reassembled PDU]"
22,7.332249,192.168.11.4,192.168.11.25,TCP,66,0.000126,,,"33888  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3164219984 TSecr=3047257204"
23,7.339795,192.168.11.25,192.168.11.4,TCP,66,0.007546,,,6000  >  33888 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3047257212 TSecr=3164219984
24,7.340166,192.168.11.25,192.168.11.4,TCP,66,0.000371,,,"6000  >  33888 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3047257214 TSecr=3164219984"
25,7.340214,192.168.11.4,192.168.11.25,TCP,66,0.000048,,,33888  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3164219992 TSecr=3047257214
26,7.371508,192.168.11.4,255.255.255.255,UDP,209,0.031294,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,60894  >  7000 Len=167
27,7.377347,192.168.11.5,192.168.11.4,TCP,74,0.005839,œ,,46668  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2309414779 TSecr=0 WS=128
28,7.377502,192.168.11.4,192.168.11.5,TCP,74,0.000155,,,"6000  >  46668 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=58172815 TSecr=2309414779 WS=128"
29,7.3842,192.168.11.5,192.168.11.4,TCP,66,0.006698,,,46668  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2309414786 TSecr=58172815
30,7.384758,192.168.11.5,192.168.11.4,TCP,93,0.000558,,,"46668  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2309414786 TSecr=58172815 [TCP segment of a reassembled PDU]"
31,7.384841,192.168.11.4,192.168.11.5,TCP,66,0.000083,,,6000  >  46668 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=58172822 TSecr=2309414786
32,7.384912,192.168.11.5,192.168.11.4,TCP,66,0.000071,,,"46668  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2309414787 TSecr=58172815"
33,7.386204,192.168.11.4,192.168.11.5,TCP,66,0.001292,,,"6000  >  46668 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=58172824 TSecr=2309414787"
34,7.392408,192.168.11.5,192.168.11.4,TCP,66,0.006204,,,46668  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2309414794 TSecr=58172824
35,14.675941,192.168.11.4,192.168.11.25,TCP,74,7.283533,,,43356  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3164227327 TSecr=0 WS=128
