No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.5,192.168.11.4,TCP,74,0,,,46666  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2309407461 TSecr=0 WS=128
2,0.006665,192.168.11.4,192.168.11.5,TCP,74,0.006665,,,"6000  >  46666 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=58165499 TSecr=2309407461 WS=128"
3,0.006774,192.168.11.5,192.168.11.4,TCP,66,0.000109,,,46666  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2309407470 TSecr=58165499
4,0.006948,192.168.11.5,192.168.11.4,TCP,93,0.000174,,,"46666  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2309407470 TSecr=58165499 [TCP segment of a reassembled PDU]"
5,0.007156,192.168.11.5,192.168.11.4,TCP,66,0.000208,,,"46666  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2309407471 TSecr=58165499"
6,0.015137,192.168.11.4,192.168.11.5,TCP,66,0.007981,,,6000  >  46666 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=58165507 TSecr=2309407470
7,0.015573,192.168.11.4,192.168.11.5,TCP,66,0.000436,,,"6000  >  46666 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=58165509 TSecr=2309407471"
8,0.015632,192.168.11.5,192.168.11.4,TCP,66,0.000059,,,46666  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2309407479 TSecr=58165509
9,0.045744,192.168.11.5,255.255.255.255,UDP,209,0.030112,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226f6f6f222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,48976  >  7000 Len=167
10,0.054931,192.168.11.11,192.168.11.5,TCP,74,0.009187,œ,,44114  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2196942015 TSecr=0 WS=128
