No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.11,192.168.11.5,TCP,74,0,,,44114  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2196942015 TSecr=0 WS=128
2,0.007345,192.168.11.5,192.168.11.11,TCP,74,0.007345,,,"6000  >  44114 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3085082918 TSecr=2196942015 WS=128"
3,0.007466,192.168.11.11,192.168.11.5,TCP,66,0.000121,,,44114  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2196942025 TSecr=3085082918
4,0.007827,192.168.11.11,192.168.11.5,TCP,93,0.000361,,,"44114  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2196942026 TSecr=3085082918 [TCP segment of a reassembled PDU]"
5,0.007963,192.168.11.11,192.168.11.5,TCP,66,0.000136,,,"44114  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2196942026 TSecr=3085082918"
6,0.014663,192.168.11.5,192.168.11.11,TCP,66,0.0067,,,6000  >  44114 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3085082926 TSecr=2196942026
7,0.015089,192.168.11.5,192.168.11.11,TCP,66,0.000426,,,"6000  >  44114 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3085082927 TSecr=2196942026"
8,0.015136,192.168.11.11,192.168.11.5,TCP,66,0.000047,,,44114  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2196942033 TSecr=3085082927
9,0.044426,192.168.11.11,255.255.255.255,UDP,209,0.02929,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022707070222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,36583  >  7000 Len=167
10,0.052979,192.168.11.16,192.168.11.11,TCP,74,0.008553,œ,,33288  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1712331221 TSecr=0 WS=128
