No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.16,192.168.11.11,TCP,74,0,,,33288  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1712331221 TSecr=0 WS=128
2,0.009719,192.168.11.11,192.168.11.16,TCP,74,0.009719,,,"6000  >  33288 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=209727947 TSecr=1712331221 WS=128"
3,0.009834,192.168.11.16,192.168.11.11,TCP,66,0.000115,,,33288  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1712331234 TSecr=209727947
4,0.010095,192.168.11.16,192.168.11.11,TCP,93,0.000261,,,"33288  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1712331234 TSecr=209727947 [TCP segment of a reassembled PDU]"
5,0.010227,192.168.11.16,192.168.11.11,TCP,66,0.000132,,,"33288  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1712331234 TSecr=209727947"
6,0.017474,192.168.11.11,192.168.11.16,TCP,66,0.007247,,,6000  >  33288 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=209727957 TSecr=1712331234
7,0.017735,192.168.11.11,192.168.11.16,TCP,66,0.000261,,,"6000  >  33288 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=209727959 TSecr=1712331234"
8,0.017785,192.168.11.16,192.168.11.11,TCP,66,0.00005,,,33288  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1712331242 TSecr=209727959
9,0.048274,192.168.11.16,255.255.255.255,UDP,209,0.030489,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022717171222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47897  >  7000 Len=167
10,0.056923,192.168.11.17,192.168.11.16,TCP,74,0.008649,œ,,50096  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=473585676 TSecr=0 WS=128
11,0.057088,192.168.11.16,192.168.11.17,TCP,74,0.000165,,,"6000  >  50096 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1369564374 TSecr=473585676 WS=128"
12,0.064009,192.168.11.17,192.168.11.16,TCP,66,0.006921,,,50096  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=473585685 TSecr=1369564374
13,0.064656,192.168.11.17,192.168.11.16,TCP,93,0.000647,,,"50096  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=473585686 TSecr=1369564374 [TCP segment of a reassembled PDU]"
14,0.064789,192.168.11.16,192.168.11.17,TCP,66,0.000133,,,6000  >  50096 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1369564382 TSecr=473585686
15,0.064889,192.168.11.17,192.168.11.16,TCP,66,0.0001,,,"50096  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=473585686 TSecr=1369564374"
16,0.06671,192.168.11.16,192.168.11.17,TCP,66,0.001821,,,"6000  >  50096 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1369564384 TSecr=473585686"
17,0.071232,192.168.11.17,192.168.11.16,TCP,66,0.004522,,,50096  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=473585693 TSecr=1369564384
18,7.318316,192.168.11.16,192.168.11.11,TCP,74,7.247084,,,36296  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1712338542 TSecr=0 WS=128
