No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.17,192.168.11.16,TCP,74,0,,,50096  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=473585676 TSecr=0 WS=128
2,0.006832,192.168.11.16,192.168.11.17,TCP,74,0.006832,,,"6000  >  50096 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1369564374 TSecr=473585676 WS=128"
3,0.006947,192.168.11.17,192.168.11.16,TCP,66,0.000115,,,50096  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=473585685 TSecr=1369564374
4,0.007114,192.168.11.17,192.168.11.16,TCP,93,0.000167,,,"50096  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=473585686 TSecr=1369564374 [TCP segment of a reassembled PDU]"
5,0.007251,192.168.11.17,192.168.11.16,TCP,66,0.000137,,,"50096  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=473585686 TSecr=1369564374"
6,0.014568,192.168.11.16,192.168.11.17,TCP,66,0.007317,,,6000  >  50096 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1369564382 TSecr=473585686
7,0.01479,192.168.11.16,192.168.11.17,TCP,66,0.000222,,,"6000  >  50096 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1369564384 TSecr=473585686"
8,0.014834,192.168.11.17,192.168.11.16,TCP,66,0.000044,,,50096  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=473585693 TSecr=1369564384
9,0.046687,192.168.11.17,255.255.255.255,UDP,209,0.031853,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022727272222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,46149  >  7000 Len=167
10,0.057893,192.168.11.19,192.168.11.17,TCP,74,0.011206,œ,,59248  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3095568872 TSecr=0 WS=128
11,0.05805,192.168.11.17,192.168.11.19,TCP,74,0.000157,,,"6000  >  59248 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2630027857 TSecr=3095568872 WS=128"
12,0.073927,192.168.11.19,192.168.11.17,TCP,66,0.015877,,,59248  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3095568884 TSecr=2630027857
13,0.074667,192.168.11.19,192.168.11.17,TCP,93,0.00074,,,"59248  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3095568884 TSecr=2630027857 [TCP segment of a reassembled PDU]"
14,0.074831,192.168.11.17,192.168.11.19,TCP,66,0.000164,,,6000  >  59248 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2630027874 TSecr=3095568884
15,0.07493,192.168.11.19,192.168.11.17,TCP,66,0.000099,,,"59248  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3095568884 TSecr=2630027857"
16,0.076372,192.168.11.17,192.168.11.19,TCP,66,0.001442,,,"6000  >  59248 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2630027876 TSecr=3095568884"
17,0.082053,192.168.11.19,192.168.11.17,TCP,66,0.005681,,,59248  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3095568901 TSecr=2630027876
18,7.312803,192.168.11.17,192.168.11.16,TCP,74,7.23075,,,50106  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=473592991 TSecr=0 WS=128
19,7.32017,192.168.11.16,192.168.11.17,TCP,74,0.007367,,,"6000  >  50106 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1369571687 TSecr=473592991 WS=128"
20,7.320277,192.168.11.17,192.168.11.16,TCP,66,0.000107,,,50106  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=473592999 TSecr=1369571687
21,7.320416,192.168.11.17,192.168.11.16,TCP,93,0.000139,,,"50106  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=473592999 TSecr=1369571687 [TCP segment of a reassembled PDU]"
