No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.19,192.168.11.17,TCP,74,0,,,59248  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3095568872 TSecr=0 WS=128
2,0.009508,192.168.11.17,192.168.11.19,TCP,74,0.009508,,,"6000  >  59248 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2630027857 TSecr=3095568872 WS=128"
3,0.009627,192.168.11.19,192.168.11.17,TCP,66,0.000119,,,59248  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3095568884 TSecr=2630027857
4,0.009849,192.168.11.19,192.168.11.17,TCP,93,0.000222,,,"59248  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3095568884 TSecr=2630027857 [TCP segment of a reassembled PDU]"
5,0.010002,192.168.11.19,192.168.11.17,TCP,66,0.000153,,,"59248  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3095568884 TSecr=2630027857"
6,0.026319,192.168.11.17,192.168.11.19,TCP,66,0.016317,,,6000  >  59248 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2630027874 TSecr=3095568884
7,0.026712,192.168.11.17,192.168.11.19,TCP,66,0.000393,,,"6000  >  59248 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2630027876 TSecr=3095568884"
8,0.026762,192.168.11.19,192.168.11.17,TCP,66,0.00005,,,59248  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3095568901 TSecr=2630027876
9,0.058003,192.168.11.19,255.255.255.255,UDP,209,0.031241,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022737373222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,60806  >  7000 Len=167
10,0.066489,192.168.11.20,192.168.11.19,TCP,74,0.008486,œ,,59060  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4104277225 TSecr=0 WS=128
11,0.06664,192.168.11.19,192.168.11.20,TCP,74,0.000151,,,"6000  >  59060 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2756382078 TSecr=4104277225 WS=128"
12,0.073378,192.168.11.20,192.168.11.19,TCP,66,0.006738,,,59060  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4104277235 TSecr=2756382078
13,0.073941,192.168.11.20,192.168.11.19,TCP,93,0.000563,,,"59060  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4104277235 TSecr=2756382078 [TCP segment of a reassembled PDU]"
14,0.074061,192.168.11.19,192.168.11.20,TCP,66,0.00012,,,6000  >  59060 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2756382085 TSecr=4104277235
15,0.074146,192.168.11.20,192.168.11.19,TCP,66,0.000085,,,"59060  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=4104277235 TSecr=2756382078"
16,0.075456,192.168.11.19,192.168.11.20,TCP,66,0.00131,,,"6000  >  59060 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2756382087 TSecr=4104277235"
17,0.081414,192.168.11.20,192.168.11.19,TCP,66,0.005958,,,59060  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=4104277243 TSecr=2756382087
18,7.307856,192.168.11.19,192.168.11.17,TCP,74,7.226442,,,49036  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3095576182 TSecr=0 WS=128
19,7.314573,192.168.11.17,192.168.11.19,TCP,74,0.006717,,,"6000  >  49036 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2630035163 TSecr=3095576182 WS=128"
20,7.31467,192.168.11.19,192.168.11.17,TCP,66,0.000097,,,49036  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3095576189 TSecr=2630035163
21,7.314836,192.168.11.19,192.168.11.17,TCP,93,0.000166,,,"49036  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3095576189 TSecr=2630035163 [TCP segment of a reassembled PDU]"
22,7.314953,192.168.11.19,192.168.11.17,TCP,66,0.000117,,,"49036  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3095576189 TSecr=2630035163"
23,7.322079,192.168.11.17,192.168.11.19,TCP,66,0.007126,,,6000  >  49036 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2630035170 TSecr=3095576189
24,7.322469,192.168.11.17,192.168.11.19,TCP,66,0.00039,,,"6000  >  49036 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2630035171 TSecr=3095576189"
25,7.322517,192.168.11.19,192.168.11.17,TCP,66,0.000048,,,49036  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3095576197 TSecr=2630035171
26,7.352667,192.168.11.19,255.255.255.255,UDP,209,0.03015,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022737373222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53246  >  7000 Len=167
27,7.369805,192.168.11.20,192.168.11.19,TCP,74,0.017138,œ,,43556  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4104284531 TSecr=0 WS=128
28,7.370002,192.168.11.19,192.168.11.20,TCP,74,0.000197,,,"6000  >  43556 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2756389381 TSecr=4104284531 WS=128"
29,7.37664,192.168.11.20,192.168.11.19,TCP,66,0.006638,,,43556  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4104284538 TSecr=2756389381
30,7.377083,192.168.11.20,192.168.11.19,TCP,93,0.000443,,,"43556  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4104284538 TSecr=2756389381 [TCP segment of a reassembled PDU]"
31,7.377143,192.168.11.19,192.168.11.20,TCP,66,0.00006,,,6000  >  43556 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2756389388 TSecr=4104284538
32,7.377194,192.168.11.20,192.168.11.19,TCP,66,0.000051,,,"43556  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=4104284539 TSecr=2756389381"
33,7.378135,192.168.11.19,192.168.11.20,TCP,66,0.000941,,,"6000  >  43556 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2756389389 TSecr=4104284539"
34,7.384678,192.168.11.20,192.168.11.19,TCP,66,0.006543,,,43556  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=4104284546 TSecr=2756389389
35,14.653631,192.168.11.19,192.168.11.17,TCP,74,7.268953,,,39316  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3095583528 TSecr=0 WS=128
36,14.661755,192.168.11.17,192.168.11.19,TCP,74,0.008124,,,"6000  >  39316 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2630042510 TSecr=3095583528 WS=128"
37,14.661858,192.168.11.19,192.168.11.17,TCP,66,0.000103,,,39316  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3095583536 TSecr=2630042510
38,14.66201,192.168.11.19,192.168.11.17,TCP,93,0.000152,,,"39316  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3095583536 TSecr=2630042510 [TCP segment of a reassembled PDU]"
39,14.662138,192.168.11.19,192.168.11.17,TCP,66,0.000128,,,"39316  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3095583536 TSecr=2630042510"
40,14.67812,192.168.11.17,192.168.11.19,TCP,66,0.015982,,,6000  >  39316 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2630042526 TSecr=3095583536
41,14.678484,192.168.11.17,192.168.11.19,TCP,66,0.000364,,,"6000  >  39316 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2630042528 TSecr=3095583536"
42,14.678533,192.168.11.19,192.168.11.17,TCP,66,0.000049,,,39316  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3095583553 TSecr=2630042528
43,14.707662,192.168.11.19,255.255.255.255,UDP,209,0.029129,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022737373222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47081  >  7000 Len=167
44,14.713373,192.168.11.20,192.168.11.19,TCP,74,0.005711,œ,,46852  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4104291875 TSecr=0 WS=128
45,14.713521,192.168.11.19,192.168.11.20,TCP,74,0.000148,,,"6000  >  46852 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2756396725 TSecr=4104291875 WS=128"
46,14.730021,192.168.11.20,192.168.11.19,TCP,66,0.0165,,,46852  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4104291882 TSecr=2756396725
47,14.730622,192.168.11.20,192.168.11.19,TCP,93,0.000601,,,"46852  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4104291882 TSecr=2756396725 [TCP segment of a reassembled PDU]"
48,14.730742,192.168.11.19,192.168.11.20,TCP,66,0.00012,,,6000  >  46852 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2756396742 TSecr=4104291882
