No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.20,192.168.11.19,TCP,74,0,,,59060  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4104277225 TSecr=0 WS=128
2,0.006745,192.168.11.19,192.168.11.20,TCP,74,0.006745,,,"6000  >  59060 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2756382078 TSecr=4104277225 WS=128"
3,0.006866,192.168.11.20,192.168.11.19,TCP,66,0.000121,,,59060  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4104277235 TSecr=2756382078
4,0.007093,192.168.11.20,192.168.11.19,TCP,93,0.000227,,,"59060  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4104277235 TSecr=2756382078 [TCP segment of a reassembled PDU]"
5,0.007227,192.168.11.20,192.168.11.19,TCP,66,0.000134,,,"59060  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=4104277235 TSecr=2756382078"
6,0.014293,192.168.11.19,192.168.11.20,TCP,66,0.007066,,,6000  >  59060 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2756382085 TSecr=4104277235
7,0.014698,192.168.11.19,192.168.11.20,TCP,66,0.000405,,,"6000  >  59060 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2756382087 TSecr=4104277235"
8,0.014745,192.168.11.20,192.168.11.19,TCP,66,0.000047,,,59060  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=4104277243 TSecr=2756382087
9,0.045548,192.168.11.20,255.255.255.255,UDP,209,0.030803,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022747474222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,55006  >  7000 Len=167
10,0.055281,192.168.11.12,192.168.11.20,TCP,74,0.009733,œ,,50492  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2817687186 TSecr=0 WS=128
11,0.055453,192.168.11.20,192.168.11.12,TCP,74,0.000172,,,"6000  >  50492 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1200307212 TSecr=2817687186 WS=128"
12,0.06238,192.168.11.12,192.168.11.20,TCP,66,0.006927,,,50492  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2817687196 TSecr=1200307212
13,0.063044,192.168.11.12,192.168.11.20,TCP,93,0.000664,,,"50492  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2817687197 TSecr=1200307212 [TCP segment of a reassembled PDU]"
14,0.06313,192.168.11.20,192.168.11.12,TCP,66,0.000086,,,6000  >  50492 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1200307220 TSecr=2817687197
15,0.063215,192.168.11.12,192.168.11.20,TCP,66,0.000085,,,"50492  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2817687197 TSecr=1200307212"
16,0.064708,192.168.11.20,192.168.11.12,TCP,66,0.001493,,,"6000  >  50492 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1200307222 TSecr=2817687197"
17,0.070735,192.168.11.12,192.168.11.20,TCP,66,0.006027,,,50492  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2817687205 TSecr=1200307222
18,7.303325,192.168.11.20,192.168.11.19,TCP,74,7.23259,,,43556  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4104284531 TSecr=0 WS=128
19,7.310252,192.168.11.19,192.168.11.20,TCP,74,0.006927,,,"6000  >  43556 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2756389381 TSecr=4104284531 WS=128"
20,7.310357,192.168.11.20,192.168.11.19,TCP,66,0.000105,,,43556  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4104284538 TSecr=2756389381
21,7.310504,192.168.11.20,192.168.11.19,TCP,93,0.000147,,,"43556  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4104284538 TSecr=2756389381 [TCP segment of a reassembled PDU]"
22,7.31064,192.168.11.20,192.168.11.19,TCP,66,0.000136,,,"43556  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=4104284539 TSecr=2756389381"
23,7.317743,192.168.11.19,192.168.11.20,TCP,66,0.007103,,,6000  >  43556 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2756389388 TSecr=4104284538
24,7.318106,192.168.11.19,192.168.11.20,TCP,66,0.000363,,,"6000  >  43556 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2756389389 TSecr=4104284539"
25,7.318154,192.168.11.20,192.168.11.19,TCP,66,0.000048,,,43556  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=4104284546 TSecr=2756389389
26,7.346337,192.168.11.20,255.255.255.255,UDP,209,0.028183,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022747474222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,56482  >  7000 Len=167
27,7.352036,192.168.11.12,192.168.11.20,TCP,74,0.005699,œ,,37066  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2817694486 TSecr=0 WS=128
28,7.352159,192.168.11.20,192.168.11.12,TCP,74,0.000123,,,"6000  >  37066 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1200314509 TSecr=2817694486 WS=128"
29,7.35918,192.168.11.12,192.168.11.20,TCP,66,0.007021,,,37066  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2817694493 TSecr=1200314509
30,7.359833,192.168.11.12,192.168.11.20,TCP,93,0.000653,,,"37066  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2817694493 TSecr=1200314509 [TCP segment of a reassembled PDU]"
31,7.359955,192.168.11.20,192.168.11.12,TCP,66,0.000122,,,6000  >  37066 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1200314517 TSecr=2817694493
32,7.360031,192.168.11.12,192.168.11.20,TCP,66,0.000076,,,"37066  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2817694493 TSecr=1200314509"
33,7.361402,192.168.11.20,192.168.11.12,TCP,66,0.001371,,,"6000  >  37066 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1200314518 TSecr=2817694493"
