No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.12,192.168.11.20,TCP,74,0,,,50492  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2817687186 TSecr=0 WS=128
2,0.006883,192.168.11.20,192.168.11.12,TCP,74,0.006883,,,"6000  >  50492 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1200307212 TSecr=2817687186 WS=128"
3,0.007001,192.168.11.12,192.168.11.20,TCP,66,0.000118,,,50492  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2817687196 TSecr=1200307212
4,0.007205,192.168.11.12,192.168.11.20,TCP,93,0.000204,,,"50492  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2817687197 TSecr=1200307212 [TCP segment of a reassembled PDU]"
5,0.007344,192.168.11.12,192.168.11.20,TCP,66,0.000139,,,"50492  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2817687197 TSecr=1200307212"
6,0.014962,192.168.11.20,192.168.11.12,TCP,66,0.007618,,,6000  >  50492 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1200307220 TSecr=2817687197
7,0.015182,192.168.11.20,192.168.11.12,TCP,66,0.00022,,,"6000  >  50492 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1200307222 TSecr=2817687197"
8,0.015226,192.168.11.12,192.168.11.20,TCP,66,0.000044,,,50492  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2817687205 TSecr=1200307222
9,0.044978,192.168.11.12,255.255.255.255,UDP,209,0.029752,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,37770  >  7000 Len=167
10,0.058905,192.168.11.32,192.168.11.12,TCP,74,0.013927,œ,,51660  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1627809475 TSecr=0 WS=128
11,0.059073,192.168.11.12,192.168.11.32,TCP,74,0.000168,,,"6000  >  51660 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3043412867 TSecr=1627809475 WS=128"
12,0.067119,192.168.11.32,192.168.11.12,TCP,66,0.008046,,,51660  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1627809489 TSecr=3043412867
13,0.06758,192.168.11.32,192.168.11.12,TCP,93,0.000461,,,"51660  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1627809489 TSecr=3043412867 [TCP segment of a reassembled PDU]"
14,0.067655,192.168.11.12,192.168.11.32,TCP,66,0.000075,,,6000  >  51660 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3043412876 TSecr=1627809489
15,0.067716,192.168.11.32,192.168.11.12,TCP,66,0.000061,,,"51660  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1627809489 TSecr=3043412867"
