No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.32,192.168.11.12,TCP,74,0,,,51660  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1627809475 TSecr=0 WS=128
2,0.009266,192.168.11.12,192.168.11.32,TCP,74,0.009266,,,"6000  >  51660 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3043412867 TSecr=1627809475 WS=128"
3,0.009374,192.168.11.32,192.168.11.12,TCP,66,0.000108,,,51660  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1627809489 TSecr=3043412867
4,0.009556,192.168.11.32,192.168.11.12,TCP,93,0.000182,,,"51660  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1627809489 TSecr=3043412867 [TCP segment of a reassembled PDU]"
5,0.009703,192.168.11.32,192.168.11.12,TCP,66,0.000147,,,"51660  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1627809489 TSecr=3043412867"
6,0.017513,192.168.11.12,192.168.11.32,TCP,66,0.00781,,,6000  >  51660 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3043412876 TSecr=1627809489
7,0.017751,192.168.11.12,192.168.11.32,TCP,66,0.000238,,,"6000  >  51660 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3043412877 TSecr=1627809489"
8,0.017794,192.168.11.32,192.168.11.12,TCP,66,0.000043,,,51660  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1627809497 TSecr=3043412877
9,0.051304,192.168.11.32,255.255.255.255,UDP,209,0.03351,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022767676222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47625  >  7000 Len=167
10,0.066767,192.168.11.18,192.168.11.32,TCP,74,0.015463,œ,,34090  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3408770361 TSecr=0 WS=128
11,0.066898,192.168.11.32,192.168.11.18,TCP,74,0.000131,,,"6000  >  34090 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3634269828 TSecr=3408770361 WS=128"
12,0.073749,192.168.11.18,192.168.11.32,TCP,66,0.006851,,,34090  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3408770371 TSecr=3634269828
13,0.074218,192.168.11.18,192.168.11.32,TCP,93,0.000469,,,"34090  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3408770371 TSecr=3634269828 [TCP segment of a reassembled PDU]"
14,0.074282,192.168.11.32,192.168.11.18,TCP,66,0.000064,,,6000  >  34090 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3634269836 TSecr=3408770371
15,0.074341,192.168.11.18,192.168.11.32,TCP,66,0.000059,,,"34090  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3408770372 TSecr=3634269828"
16,0.075718,192.168.11.32,192.168.11.18,TCP,66,0.001377,,,"6000  >  34090 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3634269837 TSecr=3408770372"
17,0.081606,192.168.11.18,192.168.11.32,TCP,66,0.005888,,,34090  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3408770379 TSecr=3634269837
18,7.294458,192.168.11.32,192.168.11.12,TCP,74,7.212852,,,50594  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1627816774 TSecr=0 WS=128
19,7.306628,192.168.11.12,192.168.11.32,TCP,74,0.01217,,,"6000  >  50594 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3043420165 TSecr=1627816774 WS=128"
20,7.306722,192.168.11.32,192.168.11.12,TCP,66,0.000094,,,50594  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1627816786 TSecr=3043420165
21,7.306879,192.168.11.32,192.168.11.12,TCP,93,0.000157,,,"50594  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1627816786 TSecr=3043420165 [TCP segment of a reassembled PDU]"
22,7.306986,192.168.11.32,192.168.11.12,TCP,66,0.000107,,,"50594  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1627816786 TSecr=3043420165"
23,7.315839,192.168.11.12,192.168.11.32,TCP,66,0.008853,,,6000  >  50594 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3043420174 TSecr=1627816786
24,7.31607,192.168.11.12,192.168.11.32,TCP,66,0.000231,,,[TCP Dup ACK 23#1] 6000  >  50594 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3043420175 TSecr=1627816786
25,7.31831,192.168.11.12,192.168.11.32,TCP,66,0.00224,,,"6000  >  50594 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3043420176 TSecr=1627816786"
26,7.318354,192.168.11.32,192.168.11.12,TCP,66,0.000044,,,50594  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1627816798 TSecr=3043420176
27,7.347299,192.168.11.32,255.255.255.255,UDP,209,0.028945,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022767676222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47745  >  7000 Len=167
28,7.355487,192.168.11.18,192.168.11.32,TCP,74,0.008188,œ,,34094  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3408777653 TSecr=0 WS=128
