No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.18,192.168.11.32,TCP,74,0,,,34090  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3408770361 TSecr=0 WS=128
2,0.006711,192.168.11.32,192.168.11.18,TCP,74,0.006711,,,"6000  >  34090 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3634269828 TSecr=3408770361 WS=128"
3,0.006832,192.168.11.18,192.168.11.32,TCP,66,0.000121,,,34090  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3408770371 TSecr=3634269828
4,0.007076,192.168.11.18,192.168.11.32,TCP,93,0.000244,,,"34090  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3408770371 TSecr=3634269828 [TCP segment of a reassembled PDU]"
5,0.007225,192.168.11.18,192.168.11.32,TCP,66,0.000149,,,"34090  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3408770372 TSecr=3634269828"
6,0.014144,192.168.11.32,192.168.11.18,TCP,66,0.006919,,,6000  >  34090 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3634269836 TSecr=3408770371
7,0.014617,192.168.11.32,192.168.11.18,TCP,66,0.000473,,,"6000  >  34090 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3634269837 TSecr=3408770372"
8,0.014667,192.168.11.18,192.168.11.32,TCP,66,0.00005,,,34090  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3408770379 TSecr=3634269837
9,0.043095,192.168.11.18,255.255.255.255,UDP,209,0.028428,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022777777222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,60461  >  7000 Len=167
10,0.057513,192.168.11.33,192.168.11.18,TCP,74,0.014418,œ,,40644  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4175703792 TSecr=0 WS=128
11,0.057679,192.168.11.18,192.168.11.33,TCP,74,0.000166,,,"6000  >  40644 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2869608979 TSecr=4175703792 WS=128"
12,0.064509,192.168.11.33,192.168.11.18,TCP,66,0.00683,,,40644  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4175703804 TSecr=2869608979
13,0.065169,192.168.11.33,192.168.11.18,TCP,93,0.00066,,,"40644  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4175703804 TSecr=2869608979 [TCP segment of a reassembled PDU]"
14,0.06526,192.168.11.18,192.168.11.33,TCP,66,0.000091,,,6000  >  40644 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2869608987 TSecr=4175703804
15,0.065345,192.168.11.33,192.168.11.18,TCP,66,0.000085,,,"40644  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=4175703804 TSecr=2869608979"
16,0.067283,192.168.11.18,192.168.11.33,TCP,66,0.001938,,,"6000  >  40644 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2869608989 TSecr=4175703804"
17,0.072308,192.168.11.33,192.168.11.18,TCP,66,0.005025,,,40644  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=4175703811 TSecr=2869608989
18,7.288718,192.168.11.18,192.168.11.32,TCP,74,7.21641,,,34094  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3408777653 TSecr=0 WS=128
19,7.295416,192.168.11.32,192.168.11.18,TCP,74,0.006698,,,"6000  >  34094 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3634277117 TSecr=3408777653 WS=128"
20,7.295527,192.168.11.18,192.168.11.32,TCP,66,0.000111,,,34094  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3408777660 TSecr=3634277117
21,7.295709,192.168.11.18,192.168.11.32,TCP,93,0.000182,,,"34094  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3408777660 TSecr=3634277117 [TCP segment of a reassembled PDU]"
22,7.295851,192.168.11.18,192.168.11.32,TCP,66,0.000142,,,"34094  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3408777660 TSecr=3634277117"
23,7.312118,192.168.11.18,192.168.11.32,TCP,66,0.016267,,,"[TCP Retransmission] 34094  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3408777677 TSecr=3634277117"
24,7.312547,192.168.11.32,192.168.11.18,TCP,66,0.000429,,,6000  >  34094 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3634277134 TSecr=3408777660
25,7.312933,192.168.11.32,192.168.11.18,TCP,66,0.000386,,,"6000  >  34094 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3634277135 TSecr=3408777660"
26,7.312977,192.168.11.18,192.168.11.32,TCP,66,0.000044,,,34094  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3408777677 TSecr=3634277135
27,7.320228,192.168.11.32,192.168.11.18,TCP,78,0.007251,,,[TCP Dup ACK 25#1] 6000  >  34094 [ACK] Seq=2 Ack=29 Win=65152 Len=0 TSval=3634277141 TSecr=3408777677 SLE=28 SRE=29
28,7.3412,192.168.11.18,255.255.255.255,UDP,209,0.020972,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022777777222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,38402  >  7000 Len=167
29,7.348844,192.168.11.33,192.168.11.18,TCP,74,0.007644,œ,,43320  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4175711088 TSecr=0 WS=128
30,7.349004,192.168.11.18,192.168.11.33,TCP,74,0.00016,,,"6000  >  43320 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2869616270 TSecr=4175711088 WS=128"
31,7.356117,192.168.11.33,192.168.11.18,TCP,66,0.007113,,,43320  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4175711095 TSecr=2869616270
32,7.35672,192.168.11.33,192.168.11.18,TCP,93,0.000603,,,"43320  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4175711095 TSecr=2869616270 [TCP segment of a reassembled PDU]"
33,7.356816,192.168.11.18,192.168.11.33,TCP,66,0.000096,,,6000  >  43320 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2869616278 TSecr=4175711095
