No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.33,192.168.11.18,TCP,74,0,,,40644  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4175703792 TSecr=0 WS=128
2,0.008107,192.168.11.18,192.168.11.33,TCP,74,0.008107,,,"6000  >  40644 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2869608979 TSecr=4175703792 WS=128"
3,0.008231,192.168.11.33,192.168.11.18,TCP,66,0.000124,,,40644  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4175703804 TSecr=2869608979
4,0.00841,192.168.11.33,192.168.11.18,TCP,93,0.000179,,,"40644  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4175703804 TSecr=2869608979 [TCP segment of a reassembled PDU]"
5,0.00855,192.168.11.33,192.168.11.18,TCP,66,0.00014,,,"40644  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=4175703804 TSecr=2869608979"
6,0.015713,192.168.11.18,192.168.11.33,TCP,66,0.007163,,,6000  >  40644 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2869608987 TSecr=4175703804
7,0.01597,192.168.11.18,192.168.11.33,TCP,66,0.000257,,,"6000  >  40644 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2869608989 TSecr=4175703804"
8,0.016015,192.168.11.33,192.168.11.18,TCP,66,0.000045,,,40644  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=4175703811 TSecr=2869608989
9,0.048988,192.168.11.33,255.255.255.255,UDP,209,0.032973,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022787878222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,48626  >  7000 Len=167
10,0.060487,192.168.11.22,192.168.11.33,TCP,74,0.011499,œ,,49304  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=659971145 TSecr=0 WS=128
