No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.22,192.168.11.33,TCP,74,0,,,49304  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=659971145 TSecr=0 WS=128
2,0.007128,192.168.11.33,192.168.11.22,TCP,74,0.007128,,,"6000  >  49304 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1564818925 TSecr=659971145 WS=128"
3,0.007243,192.168.11.22,192.168.11.33,TCP,66,0.000115,,,49304  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=659971155 TSecr=1564818925
4,0.007436,192.168.11.22,192.168.11.33,TCP,93,0.000193,,,"49304  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=659971155 TSecr=1564818925 [TCP segment of a reassembled PDU]"
5,0.007587,192.168.11.22,192.168.11.33,TCP,66,0.000151,,,"49304  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=659971156 TSecr=1564818925"
6,0.014703,192.168.11.33,192.168.11.22,TCP,66,0.007116,,,6000  >  49304 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1564818933 TSecr=659971155
7,0.016684,192.168.11.33,192.168.11.22,TCP,66,0.001981,,,"6000  >  49304 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1564818935 TSecr=659971156"
8,0.016729,192.168.11.22,192.168.11.33,TCP,66,0.000045,,,49304  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=659971165 TSecr=1564818935
9,0.045054,192.168.11.22,255.255.255.255,UDP,209,0.028325,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022797979222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47343  >  7000 Len=167
10,0.057391,192.168.11.35,192.168.11.22,TCP,74,0.012337,œ,,59934  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2083759243 TSecr=0 WS=128
11,0.057578,192.168.11.22,192.168.11.35,TCP,74,0.000187,,,"6000  >  59934 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3267517949 TSecr=2083759243 WS=128"
12,0.064391,192.168.11.35,192.168.11.22,TCP,66,0.006813,,,59934  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2083759253 TSecr=3267517949
13,0.064985,192.168.11.35,192.168.11.22,TCP,93,0.000594,,,"59934  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2083759254 TSecr=3267517949 [TCP segment of a reassembled PDU]"
14,0.065131,192.168.11.22,192.168.11.35,TCP,66,0.000146,,,6000  >  59934 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3267517956 TSecr=2083759254
15,0.065234,192.168.11.35,192.168.11.22,TCP,66,0.000103,,,"59934  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2083759254 TSecr=3267517949"
16,0.068394,192.168.11.22,192.168.11.35,TCP,66,0.00316,,,"6000  >  59934 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3267517959 TSecr=2083759254"
17,0.075855,192.168.11.35,192.168.11.22,TCP,66,0.007461,,,59934  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2083759264 TSecr=3267517959
18,7.289234,192.168.11.22,192.168.11.33,TCP,74,7.213379,,,43502  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=659978437 TSecr=0 WS=128
19,7.296003,192.168.11.33,192.168.11.22,TCP,74,0.006769,,,"6000  >  43502 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1564826214 TSecr=659978437 WS=128"
20,7.296119,192.168.11.22,192.168.11.33,TCP,66,0.000116,,,43502  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=659978444 TSecr=1564826214
21,7.296291,192.168.11.22,192.168.11.33,TCP,93,0.000172,,,"43502  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=659978444 TSecr=1564826214 [TCP segment of a reassembled PDU]"
22,7.296415,192.168.11.22,192.168.11.33,TCP,66,0.000124,,,"43502  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=659978444 TSecr=1564826214"
23,7.306185,192.168.11.33,192.168.11.22,TCP,66,0.00977,,,6000  >  43502 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1564826224 TSecr=659978444
24,7.306548,192.168.11.33,192.168.11.22,TCP,66,0.000363,,,"6000  >  43502 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1564826226 TSecr=659978444"
