No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.35,192.168.11.22,TCP,74,0,,,59934  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2083759243 TSecr=0 WS=128
2,0.007079,192.168.11.22,192.168.11.35,TCP,74,0.007079,,,"6000  >  59934 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3267517949 TSecr=2083759243 WS=128"
3,0.007203,192.168.11.35,192.168.11.22,TCP,66,0.000124,,,59934  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2083759253 TSecr=3267517949
4,0.007434,192.168.11.35,192.168.11.22,TCP,93,0.000231,,,"59934  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2083759254 TSecr=3267517949 [TCP segment of a reassembled PDU]"
5,0.00759,192.168.11.35,192.168.11.22,TCP,66,0.000156,,,"59934  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2083759254 TSecr=3267517949"
6,0.014739,192.168.11.22,192.168.11.35,TCP,66,0.007149,,,6000  >  59934 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3267517956 TSecr=2083759254
7,0.017895,192.168.11.22,192.168.11.35,TCP,66,0.003156,,,"6000  >  59934 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3267517959 TSecr=2083759254"
8,0.017953,192.168.11.35,192.168.11.22,TCP,66,0.000058,,,59934  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2083759264 TSecr=3267517959
9,0.048325,192.168.11.35,255.255.255.255,UDP,209,0.030372,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20227a7a7a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,49247  >  7000 Len=167
10,0.05872,192.168.11.34,192.168.11.35,TCP,74,0.010395,œ,,47762  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=578048460 TSecr=0 WS=128
