No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.34,192.168.11.35,TCP,74,0,,,47762  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=578048460 TSecr=0 WS=128
2,0.006372,192.168.11.35,192.168.11.34,TCP,74,0.006372,,,"6000  >  47762 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=967592294 TSecr=578048460 WS=128"
3,0.006479,192.168.11.34,192.168.11.35,TCP,66,0.000107,,,47762  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=578048470 TSecr=967592294
4,0.006664,192.168.11.34,192.168.11.35,TCP,93,0.000185,,,"47762  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=578048470 TSecr=967592294 [TCP segment of a reassembled PDU]"
5,0.0068,192.168.11.34,192.168.11.35,TCP,66,0.000136,,,"47762  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=578048470 TSecr=967592294"
6,0.015323,192.168.11.35,192.168.11.34,TCP,66,0.008523,,,6000  >  47762 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=967592302 TSecr=578048470
7,0.01567,192.168.11.35,192.168.11.34,TCP,66,0.000347,,,"6000  >  47762 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=967592304 TSecr=578048470"
8,0.015734,192.168.11.34,192.168.11.35,TCP,66,0.000064,,,47762  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=578048479 TSecr=967592304
9,0.046103,192.168.11.34,255.255.255.255,UDP,209,0.030369,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022313131222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47785  >  7000 Len=167
10,0.05896,192.168.11.6,192.168.11.34,TCP,74,0.012857,œ,,34022  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1346009635 TSecr=0 WS=128
11,0.059167,192.168.11.34,192.168.11.6,TCP,74,0.000207,,,"6000  >  34022 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3961091929 TSecr=1346009635 WS=128"
12,0.066545,192.168.11.6,192.168.11.34,TCP,66,0.007378,,,34022  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1346009648 TSecr=3961091929
13,0.067514,192.168.11.6,192.168.11.34,TCP,93,0.000969,,,"34022  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1346009648 TSecr=3961091929 [TCP segment of a reassembled PDU]"
14,0.067754,192.168.11.34,192.168.11.6,TCP,66,0.00024,,,6000  >  34022 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3961091938 TSecr=1346009648
15,0.06784,192.168.11.6,192.168.11.34,TCP,66,0.000086,,,"34022  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1346009648 TSecr=3961091929"
16,0.069903,192.168.11.34,192.168.11.6,TCP,66,0.002063,,,"6000  >  34022 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3961091940 TSecr=1346009648"
17,0.077312,192.168.11.6,192.168.11.34,TCP,66,0.007409,,,34022  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1346009656 TSecr=3961091940
18,7.285856,192.168.11.34,192.168.11.35,TCP,74,7.208544,,,57474  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=578055749 TSecr=0 WS=128
19,7.292572,192.168.11.35,192.168.11.34,TCP,74,0.006716,,,"6000  >  57474 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=967599580 TSecr=578055749 WS=128"
20,7.292674,192.168.11.34,192.168.11.35,TCP,66,0.000102,,,57474  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=578055756 TSecr=967599580
21,7.292813,192.168.11.34,192.168.11.35,TCP,93,0.000139,,,"57474  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=578055756 TSecr=967599580 [TCP segment of a reassembled PDU]"
22,7.292954,192.168.11.34,192.168.11.35,TCP,66,0.000141,,,"57474  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=578055756 TSecr=967599580"
23,7.30003,192.168.11.35,192.168.11.34,TCP,66,0.007076,,,6000  >  57474 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=967599587 TSecr=578055756
24,7.300423,192.168.11.35,192.168.11.34,TCP,66,0.000393,,,"6000  >  57474 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=967599588 TSecr=578055756"
25,7.300468,192.168.11.34,192.168.11.35,TCP,66,0.000045,,,57474  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=578055764 TSecr=967599588
26,7.329499,192.168.11.34,255.255.255.255,UDP,209,0.029031,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022313131222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,54141  >  7000 Len=167
27,7.337815,192.168.11.6,192.168.11.34,TCP,74,0.008316,œ,,34036  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1346016918 TSecr=0 WS=128
28,7.337958,192.168.11.34,192.168.11.6,TCP,74,0.000143,,,"6000  >  34036 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3961099208 TSecr=1346016918 WS=128"
29,7.353255,192.168.11.6,192.168.11.34,TCP,66,0.015297,,,34036  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1346016925 TSecr=3961099208
30,7.353807,192.168.11.6,192.168.11.34,TCP,93,0.000552,,,"34036  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1346016925 TSecr=3961099208 [TCP segment of a reassembled PDU]"
31,7.353877,192.168.11.34,192.168.11.6,TCP,66,0.00007,,,6000  >  34036 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3961099224 TSecr=1346016925
32,7.353944,192.168.11.6,192.168.11.34,TCP,66,0.000067,,,"34036  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1346016926 TSecr=3961099208"
33,7.354938,192.168.11.34,192.168.11.6,TCP,66,0.000994,,,"6000  >  34036 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3961099225 TSecr=1346016926"
34,7.361076,192.168.11.6,192.168.11.34,TCP,66,0.006138,,,34036  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1346016942 TSecr=3961099225
35,14.628097,192.168.11.34,192.168.11.35,TCP,74,7.267021,,,57476  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=578063091 TSecr=0 WS=128
36,14.634922,192.168.11.35,192.168.11.34,TCP,74,0.006825,,,"6000  >  57476 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=967606922 TSecr=578063091 WS=128"
37,14.635023,192.168.11.34,192.168.11.35,TCP,66,0.000101,,,57476  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=578063098 TSecr=967606922
38,14.63519,192.168.11.34,192.168.11.35,TCP,93,0.000167,,,"57476  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=578063098 TSecr=967606922 [TCP segment of a reassembled PDU]"
39,14.635297,192.168.11.34,192.168.11.35,TCP,66,0.000107,,,"57476  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=578063099 TSecr=967606922"
40,14.642476,192.168.11.35,192.168.11.34,TCP,66,0.007179,,,6000  >  57476 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=967606929 TSecr=578063098
41,14.642852,192.168.11.35,192.168.11.34,TCP,66,0.000376,,,"6000  >  57476 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=967606930 TSecr=578063099"
42,14.6429,192.168.11.34,192.168.11.35,TCP,66,0.000048,,,57476  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=578063106 TSecr=967606930
43,14.671616,192.168.11.34,255.255.255.255,UDP,209,0.028716,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022313131222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,57768  >  7000 Len=167
44,14.679534,192.168.11.6,192.168.11.34,TCP,74,0.007918,œ,,52440  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1346024260 TSecr=0 WS=128
45,14.679691,192.168.11.34,192.168.11.6,TCP,74,0.000157,,,"6000  >  52440 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3961106550 TSecr=1346024260 WS=128"
46,14.688002,192.168.11.6,192.168.11.34,TCP,66,0.008311,,,52440  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1346024268 TSecr=3961106550
47,14.688652,192.168.11.6,192.168.11.34,TCP,93,0.00065,,,"52440  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1346024268 TSecr=3961106550 [TCP segment of a reassembled PDU]"
48,14.688759,192.168.11.34,192.168.11.6,TCP,66,0.000107,,,6000  >  52440 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3961106559 TSecr=1346024268
49,14.688844,192.168.11.6,192.168.11.34,TCP,66,0.000085,,,"52440  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1346024268 TSecr=3961106550"
50,14.690414,192.168.11.34,192.168.11.6,TCP,66,0.00157,,,"6000  >  52440 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3961106561 TSecr=1346024268"
51,14.69645,192.168.11.6,192.168.11.34,TCP,66,0.006036,,,52440  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1346024276 TSecr=3961106561
52,21.824,192.168.11.34,192.168.11.35,TCP,74,7.12755,,,49874  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=578070287 TSecr=0 WS=128
53,21.832326,192.168.11.35,192.168.11.34,TCP,74,0.008326,,,"6000  >  49874 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=967614117 TSecr=578070287 WS=128"
54,21.832443,192.168.11.34,192.168.11.35,TCP,66,0.000117,,,49874  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=578070296 TSecr=967614117
55,21.832618,192.168.11.34,192.168.11.35,TCP,93,0.000175,,,"49874  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=578070296 TSecr=967614117 [TCP segment of a reassembled PDU]"
56,21.832742,192.168.11.34,192.168.11.35,TCP,66,0.000124,,,"49874  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=578070296 TSecr=967614117"
57,21.844515,192.168.11.35,192.168.11.34,TCP,66,0.011773,,,6000  >  49874 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=967614131 TSecr=578070296
58,21.844905,192.168.11.35,192.168.11.34,TCP,66,0.00039,,,"6000  >  49874 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=967614132 TSecr=578070296"
59,21.844953,192.168.11.34,192.168.11.35,TCP,66,0.000048,,,49874  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=578070308 TSecr=967614132
60,21.87488,192.168.11.34,255.255.255.255,UDP,209,0.029927,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022313131222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,54114  >  7000 Len=167
61,21.882536,192.168.11.6,192.168.11.34,TCP,74,0.007656,œ,,51912  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1346031462 TSecr=0 WS=128
62,21.882677,192.168.11.34,192.168.11.6,TCP,74,0.000141,,,"6000  >  51912 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3961113753 TSecr=1346031462 WS=128"
63,21.889858,192.168.11.6,192.168.11.34,TCP,66,0.007181,,,51912  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1346031469 TSecr=3961113753
64,21.890327,192.168.11.6,192.168.11.34,TCP,93,0.000469,,,"51912  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1346031470 TSecr=3961113753 [TCP segment of a reassembled PDU]"
65,21.890438,192.168.11.34,192.168.11.6,TCP,66,0.000111,,,6000  >  51912 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3961113761 TSecr=1346031470
66,21.890759,192.168.11.6,192.168.11.34,TCP,66,0.000321,,,"51912  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1346031470 TSecr=3961113753"
67,21.892115,192.168.11.34,192.168.11.6,TCP,66,0.001356,,,"6000  >  51912 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3961113762 TSecr=1346031470"
68,21.900762,192.168.11.6,192.168.11.34,TCP,66,0.008647,,,51912  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1346031481 TSecr=3961113762
69,29.029258,192.168.11.34,192.168.11.35,TCP,74,7.128496,,,58634  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=578077492 TSecr=0 WS=128
70,29.037396,192.168.11.35,192.168.11.34,TCP,74,0.008138,,,"6000  >  58634 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=967621322 TSecr=578077492 WS=128"
