No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Arrival Time,Data,Info
9,0.052121,192.168.11.44,255.255.255.255,UDP,209,0.029506,Ÿ,"Jan  6, 2024 19:36:14.976588000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022303034222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,56809  >  7000 Len=167
10,0.063956,192.168.11.45,192.168.11.44,TCP,74,0.011835,œ,"Jan  6, 2024 19:36:14.988423000 JST",,38456  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2229733090 TSecr=0 WS=128
26,8.280039,192.168.11.44,255.255.255.255,UDP,209,0.035535,Ÿ,"Jan  6, 2024 19:36:23.204506000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022303034222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,52395  >  7000 Len=167
27,8.291291,192.168.11.45,192.168.11.44,TCP,74,0.011252,œ,"Jan  6, 2024 19:36:23.215758000 JST",,57970  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2229741320 TSecr=0 WS=128
43,19.151134,192.168.11.44,255.255.255.255,UDP,209,0.031887,Ÿ,"Jan  6, 2024 19:36:34.075601000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022303034222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,57464  >  7000 Len=167
44,19.159071,192.168.11.45,192.168.11.44,TCP,74,0.007937,œ,"Jan  6, 2024 19:36:34.083538000 JST",,38504  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2229752189 TSecr=0 WS=128
60,28.035402,192.168.11.44,255.255.255.255,UDP,209,0.034137,Ÿ,"Jan  6, 2024 19:36:42.959869000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022303034222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,44364  >  7000 Len=167
61,28.045628,192.168.11.45,192.168.11.44,TCP,74,0.010226,œ,"Jan  6, 2024 19:36:42.970095000 JST",,58130  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2229761076 TSecr=0 WS=128
77,35.84945,192.168.11.44,255.255.255.255,UDP,209,0.031707,Ÿ,"Jan  6, 2024 19:36:50.773917000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022303034222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,51473  >  7000 Len=167
78,35.858661,192.168.11.45,192.168.11.44,TCP,74,0.009211,œ,"Jan  6, 2024 19:36:50.783128000 JST",,37990  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2229768888 TSecr=0 WS=128
