No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.50,192.168.11.49,TCP,74,,,0,"Jan  6, 2024 19:36:15.330398000 JST",,40980  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1300271049 TSecr=0 WS=128
2,0.008128,192.168.11.49,192.168.11.50,TCP,74,0.008128,,0.008128,"Jan  6, 2024 19:36:15.338526000 JST",,"6000  >  40980 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3018201611 TSecr=1300271049 WS=128"
3,0.008239,192.168.11.50,192.168.11.49,TCP,66,0.000111,,0.000111,"Jan  6, 2024 19:36:15.338637000 JST",,40980  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1300271061 TSecr=3018201611
4,0.008442,192.168.11.50,192.168.11.49,TCP,93,,,0.000203,"Jan  6, 2024 19:36:15.338840000 JST",,"40980  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1300271061 TSecr=3018201611 [TCP segment of a reassembled PDU]"
5,0.008593,192.168.11.50,192.168.11.49,TCP,66,,,0.000151,"Jan  6, 2024 19:36:15.338991000 JST",,"40980  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1300271061 TSecr=3018201611"
6,0.015332,192.168.11.49,192.168.11.50,TCP,66,0.00689,,0.006739,"Jan  6, 2024 19:36:15.345730000 JST",,6000  >  40980 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3018201619 TSecr=1300271061
7,0.015725,192.168.11.49,192.168.11.50,TCP,66,0.007132,,0.000393,"Jan  6, 2024 19:36:15.346123000 JST",,"6000  >  40980 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3018201620 TSecr=1300271061"
8,0.015777,192.168.11.50,192.168.11.49,TCP,66,0.000052,,0.000052,"Jan  6, 2024 19:36:15.346175000 JST",,40980  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1300271068 TSecr=3018201620
9,0.046764,192.168.11.50,255.255.255.255,UDP,209,,Ÿ,0.030987,"Jan  6, 2024 19:36:15.377162000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022303131222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,41587  >  7000 Len=167
10,0.070469,192.168.11.51,192.168.11.50,TCP,74,,œ,0.023705,"Jan  6, 2024 19:36:15.400867000 JST",,39344  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=935966027 TSecr=0 WS=128
11,0.070636,192.168.11.50,192.168.11.51,TCP,74,0.000167,,0.000167,"Jan  6, 2024 19:36:15.401034000 JST",,"6000  >  39344 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=914226556 TSecr=935966027 WS=128"
12,0.078213,192.168.11.51,192.168.11.50,TCP,66,0.007577,,0.007577,"Jan  6, 2024 19:36:15.408611000 JST",,39344  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=935966050 TSecr=914226556
13,0.078698,192.168.11.51,192.168.11.50,TCP,93,,,0.000485,"Jan  6, 2024 19:36:15.409096000 JST",,"39344  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=935966050 TSecr=914226556 [TCP segment of a reassembled PDU]"
14,0.078768,192.168.11.50,192.168.11.51,TCP,66,0.00007,,0.00007,"Jan  6, 2024 19:36:15.409166000 JST",,6000  >  39344 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=914226564 TSecr=935966050
15,0.078829,192.168.11.51,192.168.11.50,TCP,66,,,0.000061,"Jan  6, 2024 19:36:15.409227000 JST",,"39344  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=935966050 TSecr=914226556"
16,0.079838,192.168.11.50,192.168.11.51,TCP,66,0.001009,,0.001009,"Jan  6, 2024 19:36:15.410236000 JST",,"6000  >  39344 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=914226565 TSecr=935966050"
17,0.087668,192.168.11.51,192.168.11.50,TCP,66,0.00783,,0.00783,"Jan  6, 2024 19:36:15.418066000 JST",,39344  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=935966057 TSecr=914226565
18,8.197954,192.168.11.50,192.168.11.49,TCP,74,,,8.110286,"Jan  6, 2024 19:36:23.528352000 JST",,49964  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1300279250 TSecr=0 WS=128
19,8.20569,192.168.11.49,192.168.11.50,TCP,74,0.007736,,0.007736,"Jan  6, 2024 19:36:23.536088000 JST",,"6000  >  49964 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3018209809 TSecr=1300279250 WS=128"
20,8.205804,192.168.11.50,192.168.11.49,TCP,66,0.000114,,0.000114,"Jan  6, 2024 19:36:23.536202000 JST",,49964  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1300279258 TSecr=3018209809
21,8.206116,192.168.11.50,192.168.11.49,TCP,93,,,0.000312,"Jan  6, 2024 19:36:23.536514000 JST",,"49964  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1300279259 TSecr=3018209809 [TCP segment of a reassembled PDU]"
22,8.206243,192.168.11.50,192.168.11.49,TCP,66,,,0.000127,"Jan  6, 2024 19:36:23.536641000 JST",,"49964  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1300279259 TSecr=3018209809"
23,8.214413,192.168.11.49,192.168.11.50,TCP,66,0.008297,,0.00817,"Jan  6, 2024 19:36:23.544811000 JST",,6000  >  49964 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3018209818 TSecr=1300279259
24,8.214769,192.168.11.49,192.168.11.50,TCP,66,0.008526,,0.000356,"Jan  6, 2024 19:36:23.545167000 JST",,"6000  >  49964 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3018209820 TSecr=1300279259"
25,8.214815,192.168.11.50,192.168.11.49,TCP,66,0.000046,,0.000046,"Jan  6, 2024 19:36:23.545213000 JST",,49964  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1300279267 TSecr=3018209820
26,8.245176,192.168.11.50,255.255.255.255,UDP,209,,Ÿ,0.030361,"Jan  6, 2024 19:36:23.575574000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022303131222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,41238  >  7000 Len=167
27,8.253366,192.168.11.51,192.168.11.50,TCP,74,,œ,0.00819,"Jan  6, 2024 19:36:23.583764000 JST",,42886  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=935974225 TSecr=0 WS=128
28,8.25352,192.168.11.50,192.168.11.51,TCP,74,0.000154,,0.000154,"Jan  6, 2024 19:36:23.583918000 JST",,"6000  >  42886 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=914234739 TSecr=935974225 WS=128"
29,8.260793,192.168.11.51,192.168.11.50,TCP,66,0.007273,,0.007273,"Jan  6, 2024 19:36:23.591191000 JST",,42886  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=935974232 TSecr=914234739
30,8.261462,192.168.11.51,192.168.11.50,TCP,93,,,0.000669,"Jan  6, 2024 19:36:23.591860000 JST",,"42886  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=935974232 TSecr=914234739 [TCP segment of a reassembled PDU]"
31,8.26159,192.168.11.50,192.168.11.51,TCP,66,0.000128,,0.000128,"Jan  6, 2024 19:36:23.591988000 JST",,6000  >  42886 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=914234747 TSecr=935974232
32,8.261671,192.168.11.51,192.168.11.50,TCP,66,,,0.000081,"Jan  6, 2024 19:36:23.592069000 JST",,"42886  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=935974232 TSecr=914234739"
33,8.26321,192.168.11.50,192.168.11.51,TCP,66,0.001539,,0.001539,"Jan  6, 2024 19:36:23.593608000 JST",,"6000  >  42886 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=914234749 TSecr=935974232"
34,8.269434,192.168.11.51,192.168.11.50,TCP,66,0.006224,,0.006224,"Jan  6, 2024 19:36:23.599832000 JST",,42886  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=935974240 TSecr=914234749
35,19.074795,192.168.11.50,192.168.11.49,TCP,74,,,10.805361,"Jan  6, 2024 19:36:34.405193000 JST",,36060  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1300290127 TSecr=0 WS=128
36,19.081815,192.168.11.49,192.168.11.50,TCP,74,0.00702,,0.00702,"Jan  6, 2024 19:36:34.412213000 JST",,"6000  >  36060 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3018220686 TSecr=1300290127 WS=128"
37,19.081937,192.168.11.50,192.168.11.49,TCP,66,0.000122,,0.000122,"Jan  6, 2024 19:36:34.412335000 JST",,36060  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1300290134 TSecr=3018220686
38,19.082108,192.168.11.50,192.168.11.49,TCP,93,,,0.000171,"Jan  6, 2024 19:36:34.412506000 JST",,"36060  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1300290135 TSecr=3018220686 [TCP segment of a reassembled PDU]"
