No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.13,192.168.11.27,TCP,74,,,0,"Jan  6, 2024 19:36:10.899078000 JST",,35184  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=523853482 TSecr=0 WS=128
2,0.006297,192.168.11.27,192.168.11.13,TCP,74,0.006297,,0.006297,"Jan  6, 2024 19:36:10.905375000 JST",,"6000  >  35184 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359412216 TSecr=523853482 WS=128"
3,0.006416,192.168.11.13,192.168.11.27,TCP,66,0.000119,,0.000119,"Jan  6, 2024 19:36:10.905494000 JST",,35184  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=523853491 TSecr=359412216
4,0.006614,192.168.11.13,192.168.11.27,TCP,93,,,0.000198,"Jan  6, 2024 19:36:10.905692000 JST",,"35184  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=523853491 TSecr=359412216 [TCP segment of a reassembled PDU]"
5,0.006744,192.168.11.13,192.168.11.27,TCP,66,,,0.00013,"Jan  6, 2024 19:36:10.905822000 JST",,"35184  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=523853491 TSecr=359412216"
6,0.021525,192.168.11.27,192.168.11.13,TCP,66,0.014911,,0.014781,"Jan  6, 2024 19:36:10.920603000 JST",,6000  >  35184 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=359412231 TSecr=523853491
7,0.021934,192.168.11.27,192.168.11.13,TCP,66,0.01519,,0.000409,"Jan  6, 2024 19:36:10.921012000 JST",,"6000  >  35184 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=359412232 TSecr=523853491"
8,0.021982,192.168.11.13,192.168.11.27,TCP,66,0.000048,,0.000048,"Jan  6, 2024 19:36:10.921060000 JST",,35184  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=523853507 TSecr=359412232
9,0.052366,192.168.11.13,255.255.255.255,UDP,209,,Åü,0.030384,"Jan  6, 2024 19:36:10.951444000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,45053  >  7000 Len=167
10,0.061909,192.168.11.8,192.168.11.13,TCP,74,,Åú,0.009543,"Jan  6, 2024 19:36:10.960987000 JST",,33384  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1308773088 TSecr=0 WS=128
11,0.06208,192.168.11.13,192.168.11.8,TCP,74,0.000171,,0.000171,"Jan  6, 2024 19:36:10.961158000 JST",,"6000  >  33384 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=499446543 TSecr=1308773088 WS=128"
12,0.068759,192.168.11.8,192.168.11.13,TCP,66,0.006679,,0.006679,"Jan  6, 2024 19:36:10.967837000 JST",,33384  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1308773098 TSecr=499446543
13,0.069346,192.168.11.8,192.168.11.13,TCP,93,,,0.000587,"Jan  6, 2024 19:36:10.968424000 JST",,"33384  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1308773098 TSecr=499446543 [TCP segment of a reassembled PDU]"
14,0.069454,192.168.11.13,192.168.11.8,TCP,66,0.000108,,0.000108,"Jan  6, 2024 19:36:10.968532000 JST",,6000  >  33384 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=499446550 TSecr=1308773098
15,0.069533,192.168.11.8,192.168.11.13,TCP,66,,,0.000079,"Jan  6, 2024 19:36:10.968611000 JST",,"33384  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1308773099 TSecr=499446543"
16,0.070979,192.168.11.13,192.168.11.8,TCP,66,0.001446,,0.001446,"Jan  6, 2024 19:36:10.970057000 JST",,"6000  >  33384 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=499446552 TSecr=1308773099"
17,0.077805,192.168.11.8,192.168.11.13,TCP,66,0.006826,,0.006826,"Jan  6, 2024 19:36:10.976883000 JST",,33384  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1308773106 TSecr=499446552
18,10.371923,192.168.11.13,192.168.11.27,TCP,74,,,10.294118,"Jan  6, 2024 19:36:21.271001000 JST",,37852  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=523863857 TSecr=0 WS=128
19,10.379859,192.168.11.27,192.168.11.13,TCP,74,0.007936,,0.007936,"Jan  6, 2024 19:36:21.278937000 JST",,"6000  >  37852 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359422589 TSecr=523863857 WS=128"
20,10.379976,192.168.11.13,192.168.11.27,TCP,66,0.000117,,0.000117,"Jan  6, 2024 19:36:21.279054000 JST",,37852  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=523863865 TSecr=359422589
21,10.38016,192.168.11.13,192.168.11.27,TCP,93,,,0.000184,"Jan  6, 2024 19:36:21.279238000 JST",,"37852  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=523863865 TSecr=359422589 [TCP segment of a reassembled PDU]"
22,10.380314,192.168.11.13,192.168.11.27,TCP,66,,,0.000154,"Jan  6, 2024 19:36:21.279392000 JST",,"37852  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=523863865 TSecr=359422589"
23,10.386543,192.168.11.27,192.168.11.13,TCP,66,0.006383,,0.006229,"Jan  6, 2024 19:36:21.285621000 JST",,6000  >  37852 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=359422596 TSecr=523863865
24,10.386763,192.168.11.27,192.168.11.13,TCP,66,0.006449,,0.00022,"Jan  6, 2024 19:36:21.285841000 JST",,"6000  >  37852 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=359422597 TSecr=523863865"
25,10.386815,192.168.11.13,192.168.11.27,TCP,66,0.000052,,0.000052,"Jan  6, 2024 19:36:21.285893000 JST",,37852  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=523863872 TSecr=359422597
26,10.417941,192.168.11.13,255.255.255.255,UDP,209,,Åü,0.031126,"Jan  6, 2024 19:36:21.317019000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,46806  >  7000 Len=167
27,10.42354,192.168.11.8,192.168.11.13,TCP,74,,Åú,0.005599,"Jan  6, 2024 19:36:21.322618000 JST",,54884  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1308783453 TSecr=0 WS=128
28,10.423687,192.168.11.13,192.168.11.8,TCP,74,0.000147,,0.000147,"Jan  6, 2024 19:36:21.322765000 JST",,"6000  >  54884 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=499456904 TSecr=1308783453 WS=128"
29,10.430372,192.168.11.8,192.168.11.13,TCP,66,0.006685,,0.006685,"Jan  6, 2024 19:36:21.329450000 JST",,54884  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1308783460 TSecr=499456904
30,10.430933,192.168.11.8,192.168.11.13,TCP,93,,,0.000561,"Jan  6, 2024 19:36:21.330011000 JST",,"54884  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1308783460 TSecr=499456904 [TCP segment of a reassembled PDU]"
31,10.43102,192.168.11.13,192.168.11.8,TCP,66,0.000087,,0.000087,"Jan  6, 2024 19:36:21.330098000 JST",,6000  >  54884 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=499456912 TSecr=1308783460
32,10.431085,192.168.11.8,192.168.11.13,TCP,66,,,0.000065,"Jan  6, 2024 19:36:21.330163000 JST",,"54884  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1308783460 TSecr=499456904"
33,10.432415,192.168.11.13,192.168.11.8,TCP,66,0.00133,,0.00133,"Jan  6, 2024 19:36:21.331493000 JST",,"6000  >  54884 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=499456913 TSecr=1308783460"
34,10.438365,192.168.11.8,192.168.11.13,TCP,66,0.00595,,0.00595,"Jan  6, 2024 19:36:21.337443000 JST",,54884  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1308783468 TSecr=499456913
35,19.259354,192.168.11.13,192.168.11.27,TCP,74,,,8.820989,"Jan  6, 2024 19:36:30.158432000 JST",,42480  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=523872744 TSecr=0 WS=128
36,19.266918,192.168.11.27,192.168.11.13,TCP,74,0.007564,,0.007564,"Jan  6, 2024 19:36:30.165996000 JST",,"6000  >  42480 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359431476 TSecr=523872744 WS=128"
37,19.267035,192.168.11.13,192.168.11.27,TCP,66,0.000117,,0.000117,"Jan  6, 2024 19:36:30.166113000 JST",,42480  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=523872752 TSecr=359431476
