No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.8,192.168.11.13,TCP,74,,,0,"Jan  6, 2024 19:36:10.962371000 JST",,33384  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1308773088 TSecr=0 WS=128
2,0.006758,192.168.11.13,192.168.11.8,TCP,74,0.006758,,0.006758,"Jan  6, 2024 19:36:10.969129000 JST",,"6000  >  33384 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=499446543 TSecr=1308773088 WS=128"
3,0.006877,192.168.11.8,192.168.11.13,TCP,66,0.000119,,0.000119,"Jan  6, 2024 19:36:10.969248000 JST",,33384  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1308773098 TSecr=499446543
4,0.007056,192.168.11.8,192.168.11.13,TCP,93,,,0.000179,"Jan  6, 2024 19:36:10.969427000 JST",,"33384  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1308773098 TSecr=499446543 [TCP segment of a reassembled PDU]"
5,0.007183,192.168.11.8,192.168.11.13,TCP,66,,,0.000127,"Jan  6, 2024 19:36:10.969554000 JST",,"33384  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1308773099 TSecr=499446543"
6,0.01448,192.168.11.13,192.168.11.8,TCP,66,0.007424,,0.007297,"Jan  6, 2024 19:36:10.976851000 JST",,6000  >  33384 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=499446550 TSecr=1308773098
7,0.014854,192.168.11.13,192.168.11.8,TCP,66,0.007671,,0.000374,"Jan  6, 2024 19:36:10.977225000 JST",,"6000  >  33384 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=499446552 TSecr=1308773099"
8,0.014905,192.168.11.8,192.168.11.13,TCP,66,0.000051,,0.000051,"Jan  6, 2024 19:36:10.977276000 JST",,33384  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1308773106 TSecr=499446552
9,0.044554,192.168.11.8,255.255.255.255,UDP,209,,Ÿ,0.029649,"Jan  6, 2024 19:36:11.006925000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022646464222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,51323  >  7000 Len=167
10,0.053205,192.168.11.23,192.168.11.8,TCP,74,,œ,0.008651,"Jan  6, 2024 19:36:11.015576000 JST",,41384  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2381973557 TSecr=0 WS=128
11,0.053355,192.168.11.8,192.168.11.23,TCP,74,0.00015,,0.00015,"Jan  6, 2024 19:36:11.015726000 JST",,"6000  >  41384 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3378229749 TSecr=2381973557 WS=128"
12,0.05994,192.168.11.23,192.168.11.8,TCP,66,0.006585,,0.006585,"Jan  6, 2024 19:36:11.022311000 JST",,41384  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2381973567 TSecr=3378229749
13,0.060534,192.168.11.23,192.168.11.8,TCP,93,,,0.000594,"Jan  6, 2024 19:36:11.022905000 JST",,"41384  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2381973567 TSecr=3378229749 [TCP segment of a reassembled PDU]"
14,0.060627,192.168.11.8,192.168.11.23,TCP,66,0.000093,,0.000093,"Jan  6, 2024 19:36:11.022998000 JST",,6000  >  41384 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3378229756 TSecr=2381973567
15,0.060696,192.168.11.23,192.168.11.8,TCP,66,,,0.000069,"Jan  6, 2024 19:36:11.023067000 JST",,"41384  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2381973567 TSecr=3378229749"
16,0.062236,192.168.11.8,192.168.11.23,TCP,66,0.00154,,0.00154,"Jan  6, 2024 19:36:11.024607000 JST",,"6000  >  41384 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3378229758 TSecr=2381973567"
17,0.068693,192.168.11.23,192.168.11.8,TCP,66,0.006457,,0.006457,"Jan  6, 2024 19:36:11.031064000 JST",,41384  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2381973575 TSecr=3378229758
18,10.361692,192.168.11.8,192.168.11.13,TCP,74,,,10.292999,"Jan  6, 2024 19:36:21.324063000 JST",,54884  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1308783453 TSecr=0 WS=128
19,10.368397,192.168.11.13,192.168.11.8,TCP,74,0.006705,,0.006705,"Jan  6, 2024 19:36:21.330768000 JST",,"6000  >  54884 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=499456904 TSecr=1308783453 WS=128"
20,10.368531,192.168.11.8,192.168.11.13,TCP,66,0.000134,,0.000134,"Jan  6, 2024 19:36:21.330902000 JST",,54884  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1308783460 TSecr=499456904
21,10.36871,192.168.11.8,192.168.11.13,TCP,93,,,0.000179,"Jan  6, 2024 19:36:21.331081000 JST",,"54884  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1308783460 TSecr=499456904 [TCP segment of a reassembled PDU]"
22,10.368841,192.168.11.8,192.168.11.13,TCP,66,,,0.000131,"Jan  6, 2024 19:36:21.331212000 JST",,"54884  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1308783460 TSecr=499456904"
23,10.375726,192.168.11.13,192.168.11.8,TCP,66,0.007016,,0.006885,"Jan  6, 2024 19:36:21.338097000 JST",,6000  >  54884 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=499456912 TSecr=1308783460
24,10.3761,192.168.11.13,192.168.11.8,TCP,66,0.007259,,0.000374,"Jan  6, 2024 19:36:21.338471000 JST",,"6000  >  54884 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=499456913 TSecr=1308783460"
25,10.376169,192.168.11.8,192.168.11.13,TCP,66,0.000069,,0.000069,"Jan  6, 2024 19:36:21.338540000 JST",,54884  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1308783468 TSecr=499456913
26,10.409827,192.168.11.8,255.255.255.255,UDP,209,,Ÿ,0.033658,"Jan  6, 2024 19:36:21.372198000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022646464222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,55970  >  7000 Len=167
27,10.416689,192.168.11.23,192.168.11.8,TCP,74,,œ,0.006862,"Jan  6, 2024 19:36:21.379060000 JST",,42094  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2381983922 TSecr=0 WS=128
28,10.416848,192.168.11.8,192.168.11.23,TCP,74,0.000159,,0.000159,"Jan  6, 2024 19:36:21.379219000 JST",,"6000  >  42094 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3378240112 TSecr=2381983922 WS=128"
29,10.423589,192.168.11.23,192.168.11.8,TCP,66,0.006741,,0.006741,"Jan  6, 2024 19:36:21.385960000 JST",,42094  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2381983930 TSecr=3378240112
30,10.424283,192.168.11.23,192.168.11.8,TCP,93,,,0.000694,"Jan  6, 2024 19:36:21.386654000 JST",,"42094  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2381983930 TSecr=3378240112 [TCP segment of a reassembled PDU]"
31,10.424406,192.168.11.8,192.168.11.23,TCP,66,0.000123,,0.000123,"Jan  6, 2024 19:36:21.386777000 JST",,6000  >  42094 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3378240120 TSecr=2381983930
32,10.424499,192.168.11.23,192.168.11.8,TCP,66,,,0.000093,"Jan  6, 2024 19:36:21.386870000 JST",,"42094  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2381983930 TSecr=3378240112"
33,10.425808,192.168.11.8,192.168.11.23,TCP,66,0.001309,,0.001309,"Jan  6, 2024 19:36:21.388179000 JST",,"6000  >  42094 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3378240121 TSecr=2381983930"
34,10.43174,192.168.11.23,192.168.11.8,TCP,66,0.005932,,0.005932,"Jan  6, 2024 19:36:21.394111000 JST",,42094  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2381983938 TSecr=3378240121
35,19.251706,192.168.11.8,192.168.11.13,TCP,74,,,8.819966,"Jan  6, 2024 19:36:30.214077000 JST",,60010  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1308792343 TSecr=0 WS=128
36,19.260753,192.168.11.13,192.168.11.8,TCP,74,0.009047,,0.009047,"Jan  6, 2024 19:36:30.223124000 JST",,"6000  >  60010 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=499465794 TSecr=1308792343 WS=128"
37,19.26087,192.168.11.8,192.168.11.13,TCP,66,0.000117,,0.000117,"Jan  6, 2024 19:36:30.223241000 JST",,60010  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1308792352 TSecr=499465794
38,19.261021,192.168.11.8,192.168.11.13,TCP,93,,,0.000151,"Jan  6, 2024 19:36:30.223392000 JST",,"60010  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1308792352 TSecr=499465794 [TCP segment of a reassembled PDU]"
39,19.261119,192.168.11.8,192.168.11.13,TCP,66,,,0.000098,"Jan  6, 2024 19:36:30.223490000 JST",,"60010  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1308792352 TSecr=499465794"
40,19.268542,192.168.11.13,192.168.11.8,TCP,66,0.007521,,0.007423,"Jan  6, 2024 19:36:30.230913000 JST",,6000  >  60010 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=499465804 TSecr=1308792352
41,19.271251,192.168.11.13,192.168.11.8,TCP,66,0.010132,,0.002709,"Jan  6, 2024 19:36:30.233622000 JST",,"6000  >  60010 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=499465807 TSecr=1308792352"
42,19.27131,192.168.11.8,192.168.11.13,TCP,66,0.000059,,0.000059,"Jan  6, 2024 19:36:30.233681000 JST",,60010  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1308792363 TSecr=499465807
43,19.302368,192.168.11.8,255.255.255.255,UDP,209,,Ÿ,0.031058,"Jan  6, 2024 19:36:30.264739000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022646464222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,44846  >  7000 Len=167
44,20.303708,192.168.11.8,255.255.255.255,UDP,209,,œ,1.00134,"Jan  6, 2024 19:36:31.266079000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022646464222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,44846  >  7000 Len=167
