No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.23,192.168.11.8,TCP,74,,,0,"Jan  6, 2024 19:36:11.008704000 JST",,41384  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2381973557 TSecr=0 WS=128
2,0.006688,192.168.11.8,192.168.11.23,TCP,74,0.006688,,0.006688,"Jan  6, 2024 19:36:11.015392000 JST",,"6000  >  41384 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3378229749 TSecr=2381973557 WS=128"
3,0.00679,192.168.11.23,192.168.11.8,TCP,66,0.000102,,0.000102,"Jan  6, 2024 19:36:11.015494000 JST",,41384  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2381973567 TSecr=3378229749
4,0.006946,192.168.11.23,192.168.11.8,TCP,93,,,0.000156,"Jan  6, 2024 19:36:11.015650000 JST",,"41384  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2381973567 TSecr=3378229749 [TCP segment of a reassembled PDU]"
5,0.007085,192.168.11.23,192.168.11.8,TCP,66,,,0.000139,"Jan  6, 2024 19:36:11.015789000 JST",,"41384  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2381973567 TSecr=3378229749"
6,0.014362,192.168.11.8,192.168.11.23,TCP,66,0.007416,,0.007277,"Jan  6, 2024 19:36:11.023066000 JST",,6000  >  41384 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3378229756 TSecr=2381973567
7,0.014761,192.168.11.8,192.168.11.23,TCP,66,0.007676,,0.000399,"Jan  6, 2024 19:36:11.023465000 JST",,"6000  >  41384 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3378229758 TSecr=2381973567"
8,0.014813,192.168.11.23,192.168.11.8,TCP,66,0.000052,,0.000052,"Jan  6, 2024 19:36:11.023517000 JST",,41384  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2381973575 TSecr=3378229758
9,0.044212,192.168.11.23,255.255.255.255,UDP,209,,Ÿ,0.029399,"Jan  6, 2024 19:36:11.052916000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022656565222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,42203  >  7000 Len=167
10,0.054409,192.168.11.9,192.168.11.23,TCP,74,,œ,0.010197,"Jan  6, 2024 19:36:11.063113000 JST",,45466  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2405626644 TSecr=0 WS=128
