No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.9,192.168.11.23,TCP,74,,,0,"Jan  6, 2024 19:36:11.059549000 JST",,45466  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2405626644 TSecr=0 WS=128
2,0.007302,192.168.11.23,192.168.11.9,TCP,74,0.007302,,0.007302,"Jan  6, 2024 19:36:11.066851000 JST",,"6000  >  45466 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4143021227 TSecr=2405626644 WS=128"
3,0.007422,192.168.11.9,192.168.11.23,TCP,66,0.00012,,0.00012,"Jan  6, 2024 19:36:11.066971000 JST",,45466  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2405626655 TSecr=4143021227
4,0.007638,192.168.11.9,192.168.11.23,TCP,93,,,0.000216,"Jan  6, 2024 19:36:11.067187000 JST",,"45466  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2405626655 TSecr=4143021227 [TCP segment of a reassembled PDU]"
5,0.007771,192.168.11.9,192.168.11.23,TCP,66,,,0.000133,"Jan  6, 2024 19:36:11.067320000 JST",,"45466  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2405626656 TSecr=4143021227"
6,0.021763,192.168.11.23,192.168.11.9,TCP,66,0.014125,,0.013992,"Jan  6, 2024 19:36:11.081312000 JST",,6000  >  45466 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4143021242 TSecr=2405626655
7,0.021984,192.168.11.23,192.168.11.9,TCP,66,0.014213,,0.000221,"Jan  6, 2024 19:36:11.081533000 JST",,"6000  >  45466 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4143021244 TSecr=2405626656"
8,0.022031,192.168.11.9,192.168.11.23,TCP,66,0.000047,,0.000047,"Jan  6, 2024 19:36:11.081580000 JST",,45466  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2405626670 TSecr=4143021244
9,0.053978,192.168.11.9,255.255.255.255,UDP,209,,Ÿ,0.031947,"Jan  6, 2024 19:36:11.113527000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022666666222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,59778  >  7000 Len=167
10,0.063085,192.168.11.10,192.168.11.9,TCP,74,,œ,0.009107,"Jan  6, 2024 19:36:11.122634000 JST",,36254  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1137653128 TSecr=0 WS=128
