No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.30,192.168.11.10,TCP,74,,,0,"Jan  6, 2024 19:36:11.169384000 JST",,36634  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3430434424 TSecr=0 WS=128
2,0.006776,192.168.11.10,192.168.11.30,TCP,74,0.006776,,0.006776,"Jan  6, 2024 19:36:11.176160000 JST",,"6000  >  36634 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2137777664 TSecr=3430434424 WS=128"
3,0.006892,192.168.11.30,192.168.11.10,TCP,66,0.000116,,0.000116,"Jan  6, 2024 19:36:11.176276000 JST",,36634  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3430434435 TSecr=2137777664
4,0.007109,192.168.11.30,192.168.11.10,TCP,93,,,0.000217,"Jan  6, 2024 19:36:11.176493000 JST",,"36634  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3430434435 TSecr=2137777664 [TCP segment of a reassembled PDU]"
5,0.007243,192.168.11.30,192.168.11.10,TCP,66,,,0.000134,"Jan  6, 2024 19:36:11.176627000 JST",,"36634  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3430434435 TSecr=2137777664"
6,0.01474,192.168.11.10,192.168.11.30,TCP,66,0.007631,,0.007497,"Jan  6, 2024 19:36:11.184124000 JST",,6000  >  36634 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2137777671 TSecr=3430434435
7,0.014977,192.168.11.10,192.168.11.30,TCP,66,0.007734,,0.000237,"Jan  6, 2024 19:36:11.184361000 JST",,"6000  >  36634 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2137777673 TSecr=3430434435"
8,0.015026,192.168.11.30,192.168.11.10,TCP,66,0.000049,,0.000049,"Jan  6, 2024 19:36:11.184410000 JST",,36634  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3430434443 TSecr=2137777673
9,0.048391,192.168.11.30,255.255.255.255,UDP,209,,Ÿ,0.033365,"Jan  6, 2024 19:36:11.217775000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022686868222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,42228  >  7000 Len=167
10,0.057186,192.168.11.21,192.168.11.30,TCP,74,,œ,0.008795,"Jan  6, 2024 19:36:11.226570000 JST",,50508  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2225407299 TSecr=0 WS=128
11,0.057363,192.168.11.30,192.168.11.21,TCP,74,0.000177,,0.000177,"Jan  6, 2024 19:36:11.226747000 JST",,"6000  >  50508 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1385519499 TSecr=2225407299 WS=128"
12,0.064062,192.168.11.21,192.168.11.30,TCP,66,0.006699,,0.006699,"Jan  6, 2024 19:36:11.233446000 JST",,50508  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2225407308 TSecr=1385519499
13,0.064652,192.168.11.21,192.168.11.30,TCP,93,,,0.00059,"Jan  6, 2024 19:36:11.234036000 JST",,"50508  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2225407309 TSecr=1385519499 [TCP segment of a reassembled PDU]"
14,0.064761,192.168.11.30,192.168.11.21,TCP,66,0.000109,,0.000109,"Jan  6, 2024 19:36:11.234145000 JST",,6000  >  50508 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1385519507 TSecr=2225407309
15,0.064868,192.168.11.21,192.168.11.30,TCP,66,,,0.000107,"Jan  6, 2024 19:36:11.234252000 JST",,"50508  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2225407309 TSecr=1385519499"
16,0.066584,192.168.11.30,192.168.11.21,TCP,66,0.001716,,0.001716,"Jan  6, 2024 19:36:11.235968000 JST",,"6000  >  50508 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1385519508 TSecr=2225407309"
17,0.071219,192.168.11.21,192.168.11.30,TCP,66,0.004635,,0.004635,"Jan  6, 2024 19:36:11.240603000 JST",,50508  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2225407316 TSecr=1385519508
18,10.349666,192.168.11.30,192.168.11.10,TCP,74,,,10.278447,"Jan  6, 2024 19:36:21.519050000 JST",,43558  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3430444778 TSecr=0 WS=128
19,10.356362,192.168.11.10,192.168.11.30,TCP,74,0.006696,,0.006696,"Jan  6, 2024 19:36:21.525746000 JST",,"6000  >  43558 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2137788013 TSecr=3430444778 WS=128"
20,10.356473,192.168.11.30,192.168.11.10,TCP,66,0.000111,,0.000111,"Jan  6, 2024 19:36:21.525857000 JST",,43558  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3430444784 TSecr=2137788013
21,10.356647,192.168.11.30,192.168.11.10,TCP,93,,,0.000174,"Jan  6, 2024 19:36:21.526031000 JST",,"43558  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3430444785 TSecr=2137788013 [TCP segment of a reassembled PDU]"
22,10.356757,192.168.11.30,192.168.11.10,TCP,66,,,0.00011,"Jan  6, 2024 19:36:21.526141000 JST",,"43558  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3430444785 TSecr=2137788013"
23,10.364012,192.168.11.10,192.168.11.30,TCP,66,0.007365,,0.007255,"Jan  6, 2024 19:36:21.533396000 JST",,6000  >  43558 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2137788021 TSecr=3430444785
24,10.366593,192.168.11.10,192.168.11.30,TCP,66,0.009836,,0.002581,"Jan  6, 2024 19:36:21.535977000 JST",,"6000  >  43558 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2137788023 TSecr=3430444785"
25,10.36664,192.168.11.30,192.168.11.10,TCP,66,0.000047,,0.000047,"Jan  6, 2024 19:36:21.536024000 JST",,43558  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3430444795 TSecr=2137788023
