No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.21,192.168.11.30,TCP,74,,,0,"Jan  6, 2024 19:36:11.223658000 JST",,50508  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2225407299 TSecr=0 WS=128
2,0.00677,192.168.11.30,192.168.11.21,TCP,74,0.00677,,0.00677,"Jan  6, 2024 19:36:11.230428000 JST",,"6000  >  50508 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1385519499 TSecr=2225407299 WS=128"
3,0.006903,192.168.11.21,192.168.11.30,TCP,66,0.000133,,0.000133,"Jan  6, 2024 19:36:11.230561000 JST",,50508  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2225407308 TSecr=1385519499
4,0.007261,192.168.11.21,192.168.11.30,TCP,93,,,0.000358,"Jan  6, 2024 19:36:11.230919000 JST",,"50508  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2225407309 TSecr=1385519499 [TCP segment of a reassembled PDU]"
5,0.007434,192.168.11.21,192.168.11.30,TCP,66,,,0.000173,"Jan  6, 2024 19:36:11.231092000 JST",,"50508  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2225407309 TSecr=1385519499"
6,0.014424,192.168.11.30,192.168.11.21,TCP,66,0.007163,,0.00699,"Jan  6, 2024 19:36:11.238082000 JST",,6000  >  50508 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1385519507 TSecr=2225407309
7,0.014671,192.168.11.30,192.168.11.21,TCP,66,0.007237,,0.000247,"Jan  6, 2024 19:36:11.238329000 JST",,"6000  >  50508 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1385519508 TSecr=2225407309"
8,0.014728,192.168.11.21,192.168.11.30,TCP,66,0.000057,,0.000057,"Jan  6, 2024 19:36:11.238386000 JST",,50508  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2225407316 TSecr=1385519508
9,0.046887,192.168.11.21,255.255.255.255,UDP,209,,Ÿ,0.032159,"Jan  6, 2024 19:36:11.270545000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022696969222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,49072  >  7000 Len=167
10,0.056463,192.168.11.28,192.168.11.21,TCP,74,,œ,0.009576,"Jan  6, 2024 19:36:11.280121000 JST",,46862  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3362997388 TSecr=0 WS=128
11,0.056645,192.168.11.21,192.168.11.28,TCP,74,0.000182,,0.000182,"Jan  6, 2024 19:36:11.280303000 JST",,"6000  >  46862 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4062640234 TSecr=3362997388 WS=128"
12,0.063627,192.168.11.28,192.168.11.21,TCP,66,0.006982,,0.006982,"Jan  6, 2024 19:36:11.287285000 JST",,46862  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3362997398 TSecr=4062640234
13,0.064234,192.168.11.28,192.168.11.21,TCP,93,,,0.000607,"Jan  6, 2024 19:36:11.287892000 JST",,"46862  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3362997398 TSecr=4062640234 [TCP segment of a reassembled PDU]"
14,0.06433,192.168.11.21,192.168.11.28,TCP,66,0.000096,,0.000096,"Jan  6, 2024 19:36:11.287988000 JST",,6000  >  46862 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4062640242 TSecr=3362997398
15,0.064395,192.168.11.28,192.168.11.21,TCP,66,,,0.000065,"Jan  6, 2024 19:36:11.288053000 JST",,"46862  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3362997399 TSecr=4062640234"
16,0.065951,192.168.11.21,192.168.11.28,TCP,66,0.001556,,0.001556,"Jan  6, 2024 19:36:11.289609000 JST",,"6000  >  46862 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4062640243 TSecr=3362997399"
17,0.070697,192.168.11.28,192.168.11.21,TCP,66,0.004746,,0.004746,"Jan  6, 2024 19:36:11.294355000 JST",,46862  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3362997406 TSecr=4062640243
18,10.344492,192.168.11.21,192.168.11.30,TCP,74,,,10.273795,"Jan  6, 2024 19:36:21.568150000 JST",,54428  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2225417646 TSecr=0 WS=128
19,10.362949,192.168.11.30,192.168.11.21,TCP,74,0.018457,,0.018457,"Jan  6, 2024 19:36:21.586607000 JST",,"6000  >  54428 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1385529855 TSecr=2225417646 WS=128"
20,10.363062,192.168.11.21,192.168.11.30,TCP,66,0.000113,,0.000113,"Jan  6, 2024 19:36:21.586720000 JST",,54428  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2225417665 TSecr=1385529855
21,10.36326,192.168.11.21,192.168.11.30,TCP,93,,,0.000198,"Jan  6, 2024 19:36:21.586918000 JST",,"54428  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2225417665 TSecr=1385529855 [TCP segment of a reassembled PDU]"
22,10.363391,192.168.11.21,192.168.11.30,TCP,66,,,0.000131,"Jan  6, 2024 19:36:21.587049000 JST",,"54428  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2225417665 TSecr=1385529855"
23,10.371697,192.168.11.30,192.168.11.21,TCP,66,0.008437,,0.008306,"Jan  6, 2024 19:36:21.595355000 JST",,6000  >  54428 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1385529864 TSecr=2225417665
24,10.371916,192.168.11.30,192.168.11.21,TCP,66,0.008525,,0.000219,"Jan  6, 2024 19:36:21.595574000 JST",,"6000  >  54428 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1385529866 TSecr=2225417665"
25,10.371964,192.168.11.21,192.168.11.30,TCP,66,0.000048,,0.000048,"Jan  6, 2024 19:36:21.595622000 JST",,54428  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2225417673 TSecr=1385529866
26,10.40478,192.168.11.21,255.255.255.255,UDP,209,,Ÿ,0.032816,"Jan  6, 2024 19:36:21.628438000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022696969222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53011  >  7000 Len=167
27,10.410514,192.168.11.28,192.168.11.21,TCP,74,,œ,0.005734,"Jan  6, 2024 19:36:21.634172000 JST",,55002  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3363007745 TSecr=0 WS=128
28,10.410647,192.168.11.21,192.168.11.28,TCP,74,0.000133,,0.000133,"Jan  6, 2024 19:36:21.634305000 JST",,"6000  >  55002 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4062650588 TSecr=3363007745 WS=128"
29,10.417703,192.168.11.28,192.168.11.21,TCP,66,0.007056,,0.007056,"Jan  6, 2024 19:36:21.641361000 JST",,55002  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3363007752 TSecr=4062650588
30,10.418165,192.168.11.28,192.168.11.21,TCP,93,,,0.000462,"Jan  6, 2024 19:36:21.641823000 JST",,"55002  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3363007753 TSecr=4062650588 [TCP segment of a reassembled PDU]"
31,10.418254,192.168.11.21,192.168.11.28,TCP,66,0.000089,,0.000089,"Jan  6, 2024 19:36:21.641912000 JST",,6000  >  55002 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4062650596 TSecr=3363007753
32,10.418315,192.168.11.28,192.168.11.21,TCP,66,,,0.000061,"Jan  6, 2024 19:36:21.641973000 JST",,"55002  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3363007753 TSecr=4062650588"
33,10.419368,192.168.11.21,192.168.11.28,TCP,66,0.001053,,0.001053,"Jan  6, 2024 19:36:21.643026000 JST",,"6000  >  55002 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4062650597 TSecr=3363007753"
34,10.425673,192.168.11.28,192.168.11.21,TCP,66,0.006305,,0.006305,"Jan  6, 2024 19:36:21.649331000 JST",,55002  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3363007760 TSecr=4062650597
35,20.229584,192.168.11.21,192.168.11.30,TCP,74,,,9.803911,"Jan  6, 2024 19:36:31.453242000 JST",,59498  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2225427531 TSecr=0 WS=128
36,20.236416,192.168.11.30,192.168.11.21,TCP,74,0.006832,,0.006832,"Jan  6, 2024 19:36:31.460074000 JST",,"6000  >  59498 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1385539729 TSecr=2225427531 WS=128"
37,20.236536,192.168.11.21,192.168.11.30,TCP,66,0.00012,,0.00012,"Jan  6, 2024 19:36:31.460194000 JST",,59498  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2225427538 TSecr=1385539729
38,20.236727,192.168.11.21,192.168.11.30,TCP,93,,,0.000191,"Jan  6, 2024 19:36:31.460385000 JST",,"59498  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2225427538 TSecr=1385539729 [TCP segment of a reassembled PDU]"
39,20.236846,192.168.11.21,192.168.11.30,TCP,66,,,0.000119,"Jan  6, 2024 19:36:31.460504000 JST",,"59498  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2225427538 TSecr=1385539729"
40,20.245073,192.168.11.30,192.168.11.21,TCP,66,0.008346,,0.008227,"Jan  6, 2024 19:36:31.468731000 JST",,6000  >  59498 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1385539736 TSecr=2225427538
41,20.245477,192.168.11.30,192.168.11.21,TCP,66,0.008631,,0.000404,"Jan  6, 2024 19:36:31.469135000 JST",,"6000  >  59498 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1385539737 TSecr=2225427538"
42,20.24553,192.168.11.21,192.168.11.30,TCP,66,0.000053,,0.000053,"Jan  6, 2024 19:36:31.469188000 JST",,59498  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2225427547 TSecr=1385539737
43,20.275757,192.168.11.21,255.255.255.255,UDP,209,,Ÿ,0.030227,"Jan  6, 2024 19:36:31.499415000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022696969222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47159  >  7000 Len=167
44,20.281621,192.168.11.28,192.168.11.21,TCP,74,,œ,0.005864,"Jan  6, 2024 19:36:31.505279000 JST",,38070  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3363017616 TSecr=0 WS=128
45,20.281773,192.168.11.21,192.168.11.28,TCP,74,0.000152,,0.000152,"Jan  6, 2024 19:36:31.505431000 JST",,"6000  >  38070 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4062660459 TSecr=3363017616 WS=128"
46,20.28848,192.168.11.28,192.168.11.21,TCP,66,0.006707,,0.006707,"Jan  6, 2024 19:36:31.512138000 JST",,38070  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3363017623 TSecr=4062660459
