No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.28,192.168.11.21,TCP,74,,,0,"Jan  6, 2024 19:36:11.275824000 JST",,46862  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3362997388 TSecr=0 WS=128
2,0.006779,192.168.11.21,192.168.11.28,TCP,74,0.006779,,0.006779,"Jan  6, 2024 19:36:11.282603000 JST",,"6000  >  46862 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4062640234 TSecr=3362997388 WS=128"
3,0.006907,192.168.11.28,192.168.11.21,TCP,66,0.000128,,0.000128,"Jan  6, 2024 19:36:11.282731000 JST",,46862  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3362997398 TSecr=4062640234
4,0.007233,192.168.11.28,192.168.11.21,TCP,93,,,0.000326,"Jan  6, 2024 19:36:11.283057000 JST",,"46862  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3362997398 TSecr=4062640234 [TCP segment of a reassembled PDU]"
5,0.007433,192.168.11.28,192.168.11.21,TCP,66,,,0.0002,"Jan  6, 2024 19:36:11.283257000 JST",,"46862  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3362997399 TSecr=4062640234"
6,0.01452,192.168.11.21,192.168.11.28,TCP,66,0.007287,,0.007087,"Jan  6, 2024 19:36:11.290344000 JST",,6000  >  46862 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4062640242 TSecr=3362997398
7,0.014765,192.168.11.21,192.168.11.28,TCP,66,0.007332,,0.000245,"Jan  6, 2024 19:36:11.290589000 JST",,"6000  >  46862 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4062640243 TSecr=3362997399"
8,0.014812,192.168.11.28,192.168.11.21,TCP,66,0.000047,,0.000047,"Jan  6, 2024 19:36:11.290636000 JST",,46862  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3362997406 TSecr=4062640243
9,0.045772,192.168.11.28,255.255.255.255,UDP,209,,Ÿ,0.03096,"Jan  6, 2024 19:36:11.321596000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226a6a6a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,33752  >  7000 Len=167
10,0.054488,192.168.11.7,192.168.11.28,TCP,74,,œ,0.008716,"Jan  6, 2024 19:36:11.330312000 JST",,32858  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=472755451 TSecr=0 WS=128
11,0.054659,192.168.11.28,192.168.11.7,TCP,74,0.000171,,0.000171,"Jan  6, 2024 19:36:11.330483000 JST",,"6000  >  32858 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2519299185 TSecr=472755451 WS=128"
12,0.072081,192.168.11.7,192.168.11.28,TCP,66,0.017422,,0.017422,"Jan  6, 2024 19:36:11.347905000 JST",,32858  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=472755461 TSecr=2519299185
