No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.7,192.168.11.28,TCP,74,,,0,"Jan  6, 2024 19:36:11.187717000 JST",,32858  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=472755451 TSecr=0 WS=128
2,0.007327,192.168.11.28,192.168.11.7,TCP,74,0.007327,,0.007327,"Jan  6, 2024 19:36:11.195044000 JST",,"6000  >  32858 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2519299185 TSecr=472755451 WS=128"
3,0.007449,192.168.11.7,192.168.11.28,TCP,66,0.000122,,0.000122,"Jan  6, 2024 19:36:11.195166000 JST",,32858  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=472755461 TSecr=2519299185
4,0.007767,192.168.11.7,192.168.11.28,TCP,93,,,0.000318,"Jan  6, 2024 19:36:11.195484000 JST",,"32858  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=472755461 TSecr=2519299185 [TCP segment of a reassembled PDU]"
5,0.007925,192.168.11.7,192.168.11.28,TCP,66,,,0.000158,"Jan  6, 2024 19:36:11.195642000 JST",,"32858  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=472755462 TSecr=2519299185"
6,0.026654,192.168.11.28,192.168.11.7,TCP,66,0.018887,,0.018729,"Jan  6, 2024 19:36:11.214371000 JST",,6000  >  32858 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2519299203 TSecr=472755461
7,0.029161,192.168.11.28,192.168.11.7,TCP,66,0.021236,,0.002507,"Jan  6, 2024 19:36:11.216878000 JST",,"6000  >  32858 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2519299206 TSecr=472755462"
8,0.029211,192.168.11.7,192.168.11.28,TCP,66,0.00005,,0.00005,"Jan  6, 2024 19:36:11.216928000 JST",,32858  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=472755483 TSecr=2519299206
9,0.056162,192.168.11.7,255.255.255.255,UDP,209,,Ÿ,0.026951,"Jan  6, 2024 19:36:11.243879000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226b6b6b222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,37038  >  7000 Len=167
10,0.069713,192.168.11.26,192.168.11.7,TCP,74,,œ,0.013551,"Jan  6, 2024 19:36:11.257430000 JST",,41976  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4284875045 TSecr=0 WS=128
11,0.0699,192.168.11.7,192.168.11.26,TCP,74,0.000187,,0.000187,"Jan  6, 2024 19:36:11.257617000 JST",,"6000  >  41976 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=836346815 TSecr=4284875045 WS=128"
12,0.079832,192.168.11.26,192.168.11.7,TCP,66,0.009932,,0.009932,"Jan  6, 2024 19:36:11.267549000 JST",,41976  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4284875058 TSecr=836346815
