No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.26,192.168.11.7,TCP,74,,,0,"Jan  6, 2024 19:36:11.399569000 JST",,41976  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4284875045 TSecr=0 WS=128
2,0.007865,192.168.11.7,192.168.11.26,TCP,74,0.007865,,0.007865,"Jan  6, 2024 19:36:11.407434000 JST",,"6000  >  41976 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=836346815 TSecr=4284875045 WS=128"
3,0.007985,192.168.11.26,192.168.11.7,TCP,66,0.00012,,0.00012,"Jan  6, 2024 19:36:11.407554000 JST",,41976  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4284875058 TSecr=836346815
4,0.008289,192.168.11.26,192.168.11.7,TCP,93,,,0.000304,"Jan  6, 2024 19:36:11.407858000 JST",,"41976  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4284875058 TSecr=836346815 [TCP segment of a reassembled PDU]"
5,0.008443,192.168.11.26,192.168.11.7,TCP,66,,,0.000154,"Jan  6, 2024 19:36:11.408012000 JST",,"41976  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=4284875058 TSecr=836346815"
6,0.018185,192.168.11.7,192.168.11.26,TCP,66,0.009896,,0.009742,"Jan  6, 2024 19:36:11.417754000 JST",,6000  >  41976 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=836346825 TSecr=4284875058
7,0.018425,192.168.11.7,192.168.11.26,TCP,66,0.009982,,0.00024,"Jan  6, 2024 19:36:11.417994000 JST",,"6000  >  41976 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=836346827 TSecr=4284875058"
8,0.018475,192.168.11.26,192.168.11.7,TCP,66,0.00005,,0.00005,"Jan  6, 2024 19:36:11.418044000 JST",,41976  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=4284875068 TSecr=836346827
9,0.055354,192.168.11.26,255.255.255.255,UDP,209,,Ÿ,0.036879,"Jan  6, 2024 19:36:11.454923000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226c6c6c222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53788  >  7000 Len=167
10,0.067448,192.168.11.25,192.168.11.26,TCP,74,,œ,0.012094,"Jan  6, 2024 19:36:11.467017000 JST",,35348  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=321334414 TSecr=0 WS=128
11,0.067595,192.168.11.26,192.168.11.25,TCP,74,0.000147,,0.000147,"Jan  6, 2024 19:36:11.467164000 JST",,"6000  >  35348 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=516400909 TSecr=321334414 WS=128"
12,0.0753,192.168.11.25,192.168.11.26,TCP,66,0.007705,,0.007705,"Jan  6, 2024 19:36:11.474869000 JST",,35348  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=321334426 TSecr=516400909
13,0.075867,192.168.11.25,192.168.11.26,TCP,93,,,0.000567,"Jan  6, 2024 19:36:11.475436000 JST",,"35348  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=321334426 TSecr=516400909 [TCP segment of a reassembled PDU]"
14,0.075974,192.168.11.26,192.168.11.25,TCP,66,0.000107,,0.000107,"Jan  6, 2024 19:36:11.475543000 JST",,6000  >  35348 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=516400918 TSecr=321334426
