No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.25,192.168.11.26,TCP,74,,,0,"Jan  6, 2024 19:36:11.449530000 JST",,35348  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=321334414 TSecr=0 WS=128
2,0.007339,192.168.11.26,192.168.11.25,TCP,74,0.007339,,0.007339,"Jan  6, 2024 19:36:11.456869000 JST",,"6000  >  35348 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=516400909 TSecr=321334414 WS=128"
3,0.007449,192.168.11.25,192.168.11.26,TCP,66,0.00011,,0.00011,"Jan  6, 2024 19:36:11.456979000 JST",,35348  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=321334426 TSecr=516400909
4,0.007659,192.168.11.25,192.168.11.26,TCP,93,,,0.00021,"Jan  6, 2024 19:36:11.457189000 JST",,"35348  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=321334426 TSecr=516400909 [TCP segment of a reassembled PDU]"
5,0.00779,192.168.11.25,192.168.11.26,TCP,66,,,0.000131,"Jan  6, 2024 19:36:11.457320000 JST",,"35348  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=321334427 TSecr=516400909"
6,0.015681,192.168.11.26,192.168.11.25,TCP,66,0.008022,,0.007891,"Jan  6, 2024 19:36:11.465211000 JST",,6000  >  35348 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=516400918 TSecr=321334426
7,0.015918,192.168.11.26,192.168.11.25,TCP,66,0.008128,,0.000237,"Jan  6, 2024 19:36:11.465448000 JST",,"6000  >  35348 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=516400919 TSecr=321334427"
8,0.015966,192.168.11.25,192.168.11.26,TCP,66,0.000048,,0.000048,"Jan  6, 2024 19:36:11.465496000 JST",,35348  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=321334435 TSecr=516400919
9,0.046996,192.168.11.25,255.255.255.255,UDP,209,,Ÿ,0.03103,"Jan  6, 2024 19:36:11.496526000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226d6d6d222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53262  >  7000 Len=167
10,0.055636,192.168.11.4,192.168.11.25,TCP,74,,œ,0.00864,"Jan  6, 2024 19:36:11.505166000 JST",,43762  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2744803300 TSecr=0 WS=128
11,0.05578,192.168.11.25,192.168.11.4,TCP,74,0.000144,,0.000144,"Jan  6, 2024 19:36:11.505310000 JST",,"6000  >  43762 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2627840525 TSecr=2744803300 WS=128"
12,0.062468,192.168.11.4,192.168.11.25,TCP,66,0.006688,,0.006688,"Jan  6, 2024 19:36:11.511998000 JST",,43762  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2744803309 TSecr=2627840525
13,0.063161,192.168.11.4,192.168.11.25,TCP,93,,,0.000693,"Jan  6, 2024 19:36:11.512691000 JST",,"43762  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2744803309 TSecr=2627840525 [TCP segment of a reassembled PDU]"
14,0.063275,192.168.11.25,192.168.11.4,TCP,66,0.000114,,0.000114,"Jan  6, 2024 19:36:11.512805000 JST",,6000  >  43762 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2627840533 TSecr=2744803309
15,0.063348,192.168.11.4,192.168.11.25,TCP,66,,,0.000073,"Jan  6, 2024 19:36:11.512878000 JST",,"43762  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2744803309 TSecr=2627840525"
16,0.064729,192.168.11.25,192.168.11.4,TCP,66,0.001381,,0.001381,"Jan  6, 2024 19:36:11.514259000 JST",,"6000  >  43762 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2627840534 TSecr=2744803309"
17,0.070964,192.168.11.4,192.168.11.25,TCP,66,0.006235,,0.006235,"Jan  6, 2024 19:36:11.520494000 JST",,43762  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2744803317 TSecr=2627840534
18,10.318398,192.168.11.25,192.168.11.26,TCP,74,,,10.247434,"Jan  6, 2024 19:36:21.767928000 JST",,42788  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=321344737 TSecr=0 WS=128
19,10.32713,192.168.11.26,192.168.11.25,TCP,74,0.008732,,0.008732,"Jan  6, 2024 19:36:21.776660000 JST",,"6000  >  42788 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=516411228 TSecr=321344737 WS=128"
20,10.327243,192.168.11.25,192.168.11.26,TCP,66,0.000113,,0.000113,"Jan  6, 2024 19:36:21.776773000 JST",,42788  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=321344746 TSecr=516411228
21,10.327392,192.168.11.25,192.168.11.26,TCP,93,,,0.000149,"Jan  6, 2024 19:36:21.776922000 JST",,"42788  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=321344746 TSecr=516411228 [TCP segment of a reassembled PDU]"
22,10.327542,192.168.11.25,192.168.11.26,TCP,66,,,0.00015,"Jan  6, 2024 19:36:21.777072000 JST",,"42788  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=321344746 TSecr=516411228"
23,10.335062,192.168.11.26,192.168.11.25,TCP,66,0.00767,,0.00752,"Jan  6, 2024 19:36:21.784592000 JST",,6000  >  42788 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=516411237 TSecr=321344746
24,10.335439,192.168.11.26,192.168.11.25,TCP,66,0.007897,,0.000377,"Jan  6, 2024 19:36:21.784969000 JST",,"6000  >  42788 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=516411238 TSecr=321344746"
25,10.335486,192.168.11.25,192.168.11.26,TCP,66,0.000047,,0.000047,"Jan  6, 2024 19:36:21.785016000 JST",,42788  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=321344754 TSecr=516411238
26,10.364458,192.168.11.25,255.255.255.255,UDP,209,,Ÿ,0.028972,"Jan  6, 2024 19:36:21.813988000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226d6d6d222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,38697  >  7000 Len=167
27,10.37013,192.168.11.4,192.168.11.25,TCP,74,,œ,0.005672,"Jan  6, 2024 19:36:21.819660000 JST",,54164  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2744813617 TSecr=0 WS=128
28,10.370265,192.168.11.25,192.168.11.4,TCP,74,0.000135,,0.000135,"Jan  6, 2024 19:36:21.819795000 JST",,"6000  >  54164 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2627850840 TSecr=2744813617 WS=128"
29,10.37686,192.168.11.4,192.168.11.25,TCP,66,0.006595,,0.006595,"Jan  6, 2024 19:36:21.826390000 JST",,54164  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2744813623 TSecr=2627850840
30,10.377374,192.168.11.4,192.168.11.25,TCP,93,,,0.000514,"Jan  6, 2024 19:36:21.826904000 JST",,"54164  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2744813624 TSecr=2627850840 [TCP segment of a reassembled PDU]"
31,10.377441,192.168.11.25,192.168.11.4,TCP,66,0.000067,,0.000067,"Jan  6, 2024 19:36:21.826971000 JST",,6000  >  54164 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2627850847 TSecr=2744813624
32,10.377505,192.168.11.4,192.168.11.25,TCP,66,,,0.000064,"Jan  6, 2024 19:36:21.827035000 JST",,"54164  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2744813624 TSecr=2627850840"
33,10.378516,192.168.11.25,192.168.11.4,TCP,66,0.001011,,0.001011,"Jan  6, 2024 19:36:21.828046000 JST",,"6000  >  54164 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2627850848 TSecr=2744813624"
34,10.385065,192.168.11.4,192.168.11.25,TCP,66,0.006549,,0.006549,"Jan  6, 2024 19:36:21.834595000 JST",,54164  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2744813631 TSecr=2627850848
35,20.210616,192.168.11.25,192.168.11.26,TCP,74,,,9.825551,"Jan  6, 2024 19:36:31.660146000 JST",,46580  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=321354629 TSecr=0 WS=128
36,20.218921,192.168.11.26,192.168.11.25,TCP,74,0.008305,,0.008305,"Jan  6, 2024 19:36:31.668451000 JST",,"6000  >  46580 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=516421120 TSecr=321354629 WS=128"
37,20.219019,192.168.11.25,192.168.11.26,TCP,66,0.000098,,0.000098,"Jan  6, 2024 19:36:31.668549000 JST",,46580  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=321354638 TSecr=516421120
38,20.219152,192.168.11.25,192.168.11.26,TCP,93,,,0.000133,"Jan  6, 2024 19:36:31.668682000 JST",,"46580  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=321354638 TSecr=516421120 [TCP segment of a reassembled PDU]"
39,20.219275,192.168.11.25,192.168.11.26,TCP,66,,,0.000123,"Jan  6, 2024 19:36:31.668805000 JST",,"46580  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=321354638 TSecr=516421120"
40,20.227148,192.168.11.26,192.168.11.25,TCP,66,0.007996,,0.007873,"Jan  6, 2024 19:36:31.676678000 JST",,6000  >  46580 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=516421129 TSecr=321354638
41,20.227495,192.168.11.26,192.168.11.25,TCP,66,0.00822,,0.000347,"Jan  6, 2024 19:36:31.677025000 JST",,"6000  >  46580 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=516421130 TSecr=321354638"
42,20.22754,192.168.11.25,192.168.11.26,TCP,66,0.000045,,0.000045,"Jan  6, 2024 19:36:31.677070000 JST",,46580  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=321354646 TSecr=516421130
43,20.255774,192.168.11.25,255.255.255.255,UDP,209,,Ÿ,0.028234,"Jan  6, 2024 19:36:31.705304000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226d6d6d222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,44292  >  7000 Len=167
44,20.261421,192.168.11.4,192.168.11.25,TCP,74,,œ,0.005647,"Jan  6, 2024 19:36:31.710951000 JST",,34662  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2744823508 TSecr=0 WS=128
45,20.261543,192.168.11.25,192.168.11.4,TCP,74,0.000122,,0.000122,"Jan  6, 2024 19:36:31.711073000 JST",,"6000  >  34662 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2627860731 TSecr=2744823508 WS=128"
46,20.268314,192.168.11.4,192.168.11.25,TCP,66,0.006771,,0.006771,"Jan  6, 2024 19:36:31.717844000 JST",,34662  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2744823515 TSecr=2627860731
47,20.268801,192.168.11.4,192.168.11.25,TCP,93,,,0.000487,"Jan  6, 2024 19:36:31.718331000 JST",,"34662  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2744823515 TSecr=2627860731 [TCP segment of a reassembled PDU]"
48,20.268871,192.168.11.25,192.168.11.4,TCP,66,0.00007,,0.00007,"Jan  6, 2024 19:36:31.718401000 JST",,6000  >  34662 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2627860739 TSecr=2744823515
49,20.268934,192.168.11.4,192.168.11.25,TCP,66,,,0.000063,"Jan  6, 2024 19:36:31.718464000 JST",,"34662  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2744823515 TSecr=2627860731"
50,20.269787,192.168.11.25,192.168.11.4,TCP,66,0.000853,,0.000853,"Jan  6, 2024 19:36:31.719317000 JST",,"6000  >  34662 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2627860740 TSecr=2744823515"
51,20.27613,192.168.11.4,192.168.11.25,TCP,66,0.006343,,0.006343,"Jan  6, 2024 19:36:31.725660000 JST",,34662  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2744823522 TSecr=2627860740
52,30.115007,192.168.11.25,192.168.11.26,TCP,74,,,9.838877,"Jan  6, 2024 19:36:41.564537000 JST",,33800  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=321364534 TSecr=0 WS=128
53,30.123293,192.168.11.26,192.168.11.25,TCP,74,0.008286,,0.008286,"Jan  6, 2024 19:36:41.572823000 JST",,"6000  >  33800 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=516431024 TSecr=321364534 WS=128"
54,30.123384,192.168.11.25,192.168.11.26,TCP,66,0.000091,,0.000091,"Jan  6, 2024 19:36:41.572914000 JST",,33800  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=321364542 TSecr=516431024
55,30.123544,192.168.11.25,192.168.11.26,TCP,93,,,0.00016,"Jan  6, 2024 19:36:41.573074000 JST",,"33800  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=321364542 TSecr=516431024 [TCP segment of a reassembled PDU]"
56,30.123634,192.168.11.25,192.168.11.26,TCP,66,,,0.00009,"Jan  6, 2024 19:36:41.573164000 JST",,"33800  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=321364542 TSecr=516431024"
57,30.131196,192.168.11.26,192.168.11.25,TCP,66,0.007652,,0.007562,"Jan  6, 2024 19:36:41.580726000 JST",,6000  >  33800 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=516431033 TSecr=321364542
58,30.131577,192.168.11.26,192.168.11.25,TCP,66,0.007943,,0.000381,"Jan  6, 2024 19:36:41.581107000 JST",,"6000  >  33800 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=516431034 TSecr=321364542"
59,30.131625,192.168.11.25,192.168.11.26,TCP,66,0.000048,,0.000048,"Jan  6, 2024 19:36:41.581155000 JST",,33800  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=321364550 TSecr=516431034
