No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.4,192.168.11.25,TCP,74,,,0,"Jan  6, 2024 19:36:11.509251000 JST",,43762  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2744803300 TSecr=0 WS=128
2,0.006639,192.168.11.25,192.168.11.4,TCP,74,0.006639,,0.006639,"Jan  6, 2024 19:36:11.515890000 JST",,"6000  >  43762 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2627840525 TSecr=2744803300 WS=128"
3,0.006763,192.168.11.4,192.168.11.25,TCP,66,0.000124,,0.000124,"Jan  6, 2024 19:36:11.516014000 JST",,43762  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2744803309 TSecr=2627840525
4,0.007073,192.168.11.4,192.168.11.25,TCP,93,,,0.00031,"Jan  6, 2024 19:36:11.516324000 JST",,"43762  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2744803309 TSecr=2627840525 [TCP segment of a reassembled PDU]"
5,0.007223,192.168.11.4,192.168.11.25,TCP,66,,,0.00015,"Jan  6, 2024 19:36:11.516474000 JST",,"43762  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2744803309 TSecr=2627840525"
6,0.01447,192.168.11.25,192.168.11.4,TCP,66,0.007397,,0.007247,"Jan  6, 2024 19:36:11.523721000 JST",,6000  >  43762 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2627840533 TSecr=2744803309
7,0.014856,192.168.11.25,192.168.11.4,TCP,66,0.007633,,0.000386,"Jan  6, 2024 19:36:11.524107000 JST",,"6000  >  43762 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2627840534 TSecr=2744803309"
8,0.014914,192.168.11.4,192.168.11.25,TCP,66,0.000058,,0.000058,"Jan  6, 2024 19:36:11.524165000 JST",,43762  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2744803317 TSecr=2627840534
9,0.045034,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.03012,"Jan  6, 2024 19:36:11.554285000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53995  >  7000 Len=167
10,0.056021,192.168.11.5,192.168.11.4,TCP,74,,œ,0.010987,"Jan  6, 2024 19:36:11.565272000 JST",,54818  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1889998085 TSecr=0 WS=128
11,0.056186,192.168.11.4,192.168.11.5,TCP,74,0.000165,,0.000165,"Jan  6, 2024 19:36:11.565437000 JST",,"6000  >  54818 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3933723440 TSecr=1889998085 WS=128"
12,0.062895,192.168.11.5,192.168.11.4,TCP,66,0.006709,,0.006709,"Jan  6, 2024 19:36:11.572146000 JST",,54818  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1889998097 TSecr=3933723440
13,0.06351,192.168.11.5,192.168.11.4,TCP,93,,,0.000615,"Jan  6, 2024 19:36:11.572761000 JST",,"54818  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1889998097 TSecr=3933723440 [TCP segment of a reassembled PDU]"
14,0.0636,192.168.11.4,192.168.11.5,TCP,66,0.00009,,0.00009,"Jan  6, 2024 19:36:11.572851000 JST",,6000  >  54818 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3933723448 TSecr=1889998097
