No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.11,192.168.11.5,TCP,74,,,0,"Jan  6, 2024 19:36:11.612571000 JST",,57440  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1777532634 TSecr=0 WS=128
2,0.006731,192.168.11.5,192.168.11.11,TCP,74,0.006731,,0.006731,"Jan  6, 2024 19:36:11.619302000 JST",,"6000  >  57440 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2665673543 TSecr=1777532634 WS=128"
3,0.006846,192.168.11.11,192.168.11.5,TCP,66,0.000115,,0.000115,"Jan  6, 2024 19:36:11.619417000 JST",,57440  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1777532644 TSecr=2665673543
4,0.007052,192.168.11.11,192.168.11.5,TCP,93,,,0.000206,"Jan  6, 2024 19:36:11.619623000 JST",,"57440  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1777532644 TSecr=2665673543 [TCP segment of a reassembled PDU]"
5,0.007206,192.168.11.11,192.168.11.5,TCP,66,,,0.000154,"Jan  6, 2024 19:36:11.619777000 JST",,"57440  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1777532644 TSecr=2665673543"
6,0.024056,192.168.11.5,192.168.11.11,TCP,66,0.017004,,0.01685,"Jan  6, 2024 19:36:11.636627000 JST",,6000  >  57440 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2665673560 TSecr=1777532644
7,0.024496,192.168.11.5,192.168.11.11,TCP,66,0.01729,,0.00044,"Jan  6, 2024 19:36:11.637067000 JST",,"6000  >  57440 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2665673562 TSecr=1777532644"
8,0.024545,192.168.11.11,192.168.11.5,TCP,66,0.000049,,0.000049,"Jan  6, 2024 19:36:11.637116000 JST",,57440  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1777532662 TSecr=2665673562
9,0.054147,192.168.11.11,255.255.255.255,UDP,209,,Ÿ,0.029602,"Jan  6, 2024 19:36:11.666718000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022707070222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,42895  >  7000 Len=167
10,0.063075,192.168.11.16,192.168.11.11,TCP,74,,œ,0.008928,"Jan  6, 2024 19:36:11.675646000 JST",,44020  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1292920883 TSecr=0 WS=128
11,0.063235,192.168.11.11,192.168.11.16,TCP,74,0.00016,,0.00016,"Jan  6, 2024 19:36:11.675806000 JST",,"6000  >  44020 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4085285872 TSecr=1292920883 WS=128"
