No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.16,192.168.11.11,TCP,74,,,0,"Jan  6, 2024 19:36:11.671202000 JST",,44020  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1292920883 TSecr=0 WS=128
2,0.006463,192.168.11.11,192.168.11.16,TCP,74,0.006463,,0.006463,"Jan  6, 2024 19:36:11.677665000 JST",,"6000  >  44020 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4085285872 TSecr=1292920883 WS=128"
3,0.00657,192.168.11.16,192.168.11.11,TCP,66,0.000107,,0.000107,"Jan  6, 2024 19:36:11.677772000 JST",,44020  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1292920892 TSecr=4085285872
4,0.006873,192.168.11.16,192.168.11.11,TCP,93,,,0.000303,"Jan  6, 2024 19:36:11.678075000 JST",,"44020  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1292920893 TSecr=4085285872 [TCP segment of a reassembled PDU]"
5,0.007047,192.168.11.16,192.168.11.11,TCP,66,,,0.000174,"Jan  6, 2024 19:36:11.678249000 JST",,"44020  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1292920893 TSecr=4085285872"
6,0.013639,192.168.11.11,192.168.11.16,TCP,66,0.006766,,0.006592,"Jan  6, 2024 19:36:11.684841000 JST",,6000  >  44020 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4085285879 TSecr=1292920893
7,0.013797,192.168.11.11,192.168.11.16,TCP,66,0.00675,,0.000158,"Jan  6, 2024 19:36:11.684999000 JST",,"6000  >  44020 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4085285881 TSecr=1292920893"
8,0.013844,192.168.11.16,192.168.11.11,TCP,66,0.000047,,0.000047,"Jan  6, 2024 19:36:11.685046000 JST",,44020  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1292920900 TSecr=4085285881
9,0.037869,192.168.11.16,255.255.255.255,UDP,209,,Ÿ,0.024025,"Jan  6, 2024 19:36:11.709071000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022717171222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,45028  >  7000 Len=167
10,0.046035,192.168.11.17,192.168.11.16,TCP,74,,œ,0.008166,"Jan  6, 2024 19:36:11.717237000 JST",,37496  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=54176311 TSecr=0 WS=128
11,0.046132,192.168.11.16,192.168.11.17,TCP,74,0.000097,,0.000097,"Jan  6, 2024 19:36:11.717334000 JST",,"6000  >  37496 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=950154025 TSecr=54176311 WS=128"
12,0.052698,192.168.11.17,192.168.11.16,TCP,66,0.006566,,0.006566,"Jan  6, 2024 19:36:11.723900000 JST",,37496  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=54176320 TSecr=950154025
13,0.053255,192.168.11.17,192.168.11.16,TCP,93,,,0.000557,"Jan  6, 2024 19:36:11.724457000 JST",,"37496  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=54176320 TSecr=950154025 [TCP segment of a reassembled PDU]"
14,0.053335,192.168.11.16,192.168.11.17,TCP,66,0.00008,,0.00008,"Jan  6, 2024 19:36:11.724537000 JST",,6000  >  37496 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=950154032 TSecr=54176320
15,0.053399,192.168.11.17,192.168.11.16,TCP,66,,,0.000064,"Jan  6, 2024 19:36:11.724601000 JST",,"37496  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=54176321 TSecr=950154025"
16,0.055137,192.168.11.16,192.168.11.17,TCP,66,0.001738,,0.001738,"Jan  6, 2024 19:36:11.726339000 JST",,"6000  >  37496 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=950154034 TSecr=54176321"
17,0.060021,192.168.11.17,192.168.11.16,TCP,66,0.004884,,0.004884,"Jan  6, 2024 19:36:11.731223000 JST",,37496  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=54176328 TSecr=950154034
18,10.298342,192.168.11.16,192.168.11.11,TCP,74,,,10.238321,"Jan  6, 2024 19:36:21.969544000 JST",,36848  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1292931184 TSecr=0 WS=128
19,10.304981,192.168.11.11,192.168.11.16,TCP,74,0.006639,,0.006639,"Jan  6, 2024 19:36:21.976183000 JST",,"6000  >  36848 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4085296172 TSecr=1292931184 WS=128"
20,10.305096,192.168.11.16,192.168.11.11,TCP,66,0.000115,,0.000115,"Jan  6, 2024 19:36:21.976298000 JST",,36848  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1292931191 TSecr=4085296172
21,10.305277,192.168.11.16,192.168.11.11,TCP,93,,,0.000181,"Jan  6, 2024 19:36:21.976479000 JST",,"36848  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1292931191 TSecr=4085296172 [TCP segment of a reassembled PDU]"
22,10.305437,192.168.11.16,192.168.11.11,TCP,66,,,0.00016,"Jan  6, 2024 19:36:21.976639000 JST",,"36848  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1292931191 TSecr=4085296172"
23,10.312502,192.168.11.11,192.168.11.16,TCP,66,0.007225,,0.007065,"Jan  6, 2024 19:36:21.983704000 JST",,6000  >  36848 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4085296178 TSecr=1292931191
24,10.312877,192.168.11.11,192.168.11.16,TCP,66,0.00744,,0.000375,"Jan  6, 2024 19:36:21.984079000 JST",,"6000  >  36848 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4085296179 TSecr=1292931191"
25,10.312923,192.168.11.16,192.168.11.11,TCP,66,0.000046,,0.000046,"Jan  6, 2024 19:36:21.984125000 JST",,36848  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1292931199 TSecr=4085296179
26,10.348026,192.168.11.16,255.255.255.255,UDP,209,,Ÿ,0.035103,"Jan  6, 2024 19:36:22.019228000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022717171222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,50400  >  7000 Len=167
27,10.353751,192.168.11.17,192.168.11.16,TCP,74,,œ,0.005725,"Jan  6, 2024 19:36:22.024953000 JST",,50494  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=54186621 TSecr=0 WS=128
28,10.353897,192.168.11.16,192.168.11.17,TCP,74,0.000146,,0.000146,"Jan  6, 2024 19:36:22.025099000 JST",,"6000  >  50494 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=950164333 TSecr=54186621 WS=128"
29,10.365634,192.168.11.17,192.168.11.16,TCP,66,0.011737,,0.011737,"Jan  6, 2024 19:36:22.036836000 JST",,50494  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=54186633 TSecr=950164333
30,10.366174,192.168.11.17,192.168.11.16,TCP,93,,,0.00054,"Jan  6, 2024 19:36:22.037376000 JST",,"50494  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=54186633 TSecr=950164333 [TCP segment of a reassembled PDU]"
31,10.366252,192.168.11.16,192.168.11.17,TCP,66,0.000078,,0.000078,"Jan  6, 2024 19:36:22.037454000 JST",,6000  >  50494 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=950164345 TSecr=54186633
32,10.366323,192.168.11.17,192.168.11.16,TCP,66,,,0.000071,"Jan  6, 2024 19:36:22.037525000 JST",,"50494  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=54186633 TSecr=950164333"
33,10.367543,192.168.11.16,192.168.11.17,TCP,66,0.00122,,0.00122,"Jan  6, 2024 19:36:22.038745000 JST",,"6000  >  50494 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=950164346 TSecr=54186633"
34,10.373746,192.168.11.17,192.168.11.16,TCP,66,0.006203,,0.006203,"Jan  6, 2024 19:36:22.044948000 JST",,50494  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=54186641 TSecr=950164346
35,20.184038,192.168.11.16,192.168.11.11,TCP,74,,,9.810292,"Jan  6, 2024 19:36:31.855240000 JST",,57672  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1292941070 TSecr=0 WS=128
36,20.190482,192.168.11.11,192.168.11.16,TCP,74,0.006444,,0.006444,"Jan  6, 2024 19:36:31.861684000 JST",,"6000  >  57672 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4085306056 TSecr=1292941070 WS=128"
37,20.190556,192.168.11.16,192.168.11.11,TCP,66,0.000074,,0.000074,"Jan  6, 2024 19:36:31.861758000 JST",,57672  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1292941076 TSecr=4085306056
