No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.17,192.168.11.16,TCP,74,,,0,"Jan  6, 2024 19:36:11.713694000 JST",,37496  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=54176311 TSecr=0 WS=128
2,0.006367,192.168.11.16,192.168.11.17,TCP,74,0.006367,,0.006367,"Jan  6, 2024 19:36:11.720061000 JST",,"6000  >  37496 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=950154025 TSecr=54176311 WS=128"
3,0.006495,192.168.11.17,192.168.11.16,TCP,66,0.000128,,0.000128,"Jan  6, 2024 19:36:11.720189000 JST",,37496  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=54176320 TSecr=950154025
4,0.006706,192.168.11.17,192.168.11.16,TCP,93,,,0.000211,"Jan  6, 2024 19:36:11.720400000 JST",,"37496  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=54176320 TSecr=950154025 [TCP segment of a reassembled PDU]"
5,0.006845,192.168.11.17,192.168.11.16,TCP,66,,,0.000139,"Jan  6, 2024 19:36:11.720539000 JST",,"37496  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=54176321 TSecr=950154025"
6,0.013759,192.168.11.16,192.168.11.17,TCP,66,0.007053,,0.006914,"Jan  6, 2024 19:36:11.727453000 JST",,6000  >  37496 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=950154032 TSecr=54176320
7,0.014025,192.168.11.16,192.168.11.17,TCP,66,0.00718,,0.000266,"Jan  6, 2024 19:36:11.727719000 JST",,"6000  >  37496 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=950154034 TSecr=54176321"
8,0.014071,192.168.11.17,192.168.11.16,TCP,66,0.000046,,0.000046,"Jan  6, 2024 19:36:11.727765000 JST",,37496  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=54176328 TSecr=950154034
9,0.045741,192.168.11.17,255.255.255.255,UDP,209,,Ÿ,0.03167,"Jan  6, 2024 19:36:11.759435000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022727272222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,59376  >  7000 Len=167
10,0.056274,192.168.11.19,192.168.11.17,TCP,74,,œ,0.010533,"Jan  6, 2024 19:36:11.769968000 JST",,60142  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2676159512 TSecr=0 WS=128
11,0.056444,192.168.11.17,192.168.11.19,TCP,74,0.00017,,0.00017,"Jan  6, 2024 19:36:11.770138000 JST",,"6000  >  60142 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2210618491 TSecr=2676159512 WS=128"
12,0.063557,192.168.11.19,192.168.11.17,TCP,66,0.007113,,0.007113,"Jan  6, 2024 19:36:11.777251000 JST",,60142  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2676159524 TSecr=2210618491
13,0.064238,192.168.11.19,192.168.11.17,TCP,93,,,0.000681,"Jan  6, 2024 19:36:11.777932000 JST",,"60142  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2676159524 TSecr=2210618491 [TCP segment of a reassembled PDU]"
14,0.064356,192.168.11.17,192.168.11.19,TCP,66,0.000118,,0.000118,"Jan  6, 2024 19:36:11.778050000 JST",,6000  >  60142 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2210618499 TSecr=2676159524
15,0.064439,192.168.11.19,192.168.11.17,TCP,66,,,0.000083,"Jan  6, 2024 19:36:11.778133000 JST",,"60142  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2676159524 TSecr=2210618491"
16,0.066822,192.168.11.17,192.168.11.19,TCP,66,0.002383,,0.002383,"Jan  6, 2024 19:36:11.780516000 JST",,"6000  >  60142 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2210618501 TSecr=2676159524"
17,0.074437,192.168.11.19,192.168.11.17,TCP,66,0.007615,,0.007615,"Jan  6, 2024 19:36:11.788131000 JST",,60142  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2676159534 TSecr=2210618501
18,10.307513,192.168.11.17,192.168.11.16,TCP,74,,,10.233076,"Jan  6, 2024 19:36:22.021207000 JST",,50494  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=54186621 TSecr=0 WS=128
19,10.31918,192.168.11.16,192.168.11.17,TCP,74,0.011667,,0.011667,"Jan  6, 2024 19:36:22.032874000 JST",,"6000  >  50494 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=950164333 TSecr=54186621 WS=128"
20,10.319298,192.168.11.17,192.168.11.16,TCP,66,0.000118,,0.000118,"Jan  6, 2024 19:36:22.032992000 JST",,50494  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=54186633 TSecr=950164333
21,10.319451,192.168.11.17,192.168.11.16,TCP,93,,,0.000153,"Jan  6, 2024 19:36:22.033145000 JST",,"50494  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=54186633 TSecr=950164333 [TCP segment of a reassembled PDU]"
22,10.319598,192.168.11.17,192.168.11.16,TCP,66,,,0.000147,"Jan  6, 2024 19:36:22.033292000 JST",,"50494  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=54186633 TSecr=950164333"
23,10.326652,192.168.11.16,192.168.11.17,TCP,66,0.007201,,0.007054,"Jan  6, 2024 19:36:22.040346000 JST",,6000  >  50494 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=950164345 TSecr=54186633
