No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.20,192.168.11.19,TCP,74,,,0,"Jan  6, 2024 19:36:11.820663000 JST",,53352  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3684867735 TSecr=0 WS=128
2,0.006744,192.168.11.19,192.168.11.20,TCP,74,0.006744,,0.006744,"Jan  6, 2024 19:36:11.827407000 JST",,"6000  >  53352 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2336972710 TSecr=3684867735 WS=128"
3,0.006863,192.168.11.20,192.168.11.19,TCP,66,0.000119,,0.000119,"Jan  6, 2024 19:36:11.827526000 JST",,53352  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3684867744 TSecr=2336972710
4,0.007097,192.168.11.20,192.168.11.19,TCP,93,,,0.000234,"Jan  6, 2024 19:36:11.827760000 JST",,"53352  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3684867745 TSecr=2336972710 [TCP segment of a reassembled PDU]"
5,0.007233,192.168.11.20,192.168.11.19,TCP,66,,,0.000136,"Jan  6, 2024 19:36:11.827896000 JST",,"53352  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3684867745 TSecr=2336972710"
6,0.014477,192.168.11.19,192.168.11.20,TCP,66,0.00738,,0.007244,"Jan  6, 2024 19:36:11.835140000 JST",,6000  >  53352 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2336972717 TSecr=3684867745
7,0.014698,192.168.11.19,192.168.11.20,TCP,66,0.007465,,0.000221,"Jan  6, 2024 19:36:11.835361000 JST",,"6000  >  53352 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2336972719 TSecr=3684867745"
8,0.014743,192.168.11.20,192.168.11.19,TCP,66,0.000045,,0.000045,"Jan  6, 2024 19:36:11.835406000 JST",,53352  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3684867752 TSecr=2336972719
9,0.044768,192.168.11.20,255.255.255.255,UDP,209,,Ÿ,0.030025,"Jan  6, 2024 19:36:11.865431000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022747474222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,56779  >  7000 Len=167
10,1.046059,192.168.11.20,255.255.255.255,UDP,209,,œ,1.001291,"Jan  6, 2024 19:36:12.866722000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022747474222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,56779  >  7000 Len=167
11,1.056088,192.168.11.12,192.168.11.20,TCP,74,,œ,0.010029,"Jan  6, 2024 19:36:12.876751000 JST",,53982  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=775406051 TSecr=0 WS=128
12,1.05622,192.168.11.20,192.168.11.12,TCP,74,0.000132,,0.000132,"Jan  6, 2024 19:36:12.876883000 JST",,"6000  >  53982 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=780898723 TSecr=775406051 WS=128"
13,1.06314,192.168.11.12,192.168.11.20,TCP,66,0.00692,,0.00692,"Jan  6, 2024 19:36:12.883803000 JST",,53982  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=775406061 TSecr=780898723
14,1.06374,192.168.11.12,192.168.11.20,TCP,93,,,0.0006,"Jan  6, 2024 19:36:12.884403000 JST",,"53982  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=775406062 TSecr=780898723 [TCP segment of a reassembled PDU]"
15,1.063841,192.168.11.20,192.168.11.12,TCP,66,0.000101,,0.000101,"Jan  6, 2024 19:36:12.884504000 JST",,6000  >  53982 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=780898730 TSecr=775406062
16,1.063929,192.168.11.12,192.168.11.20,TCP,66,,,0.000088,"Jan  6, 2024 19:36:12.884592000 JST",,"53982  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=775406062 TSecr=780898723"
