No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.12,192.168.11.20,TCP,74,,,0,"Jan  6, 2024 19:36:12.873962000 JST",,53982  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=775406051 TSecr=0 WS=128
2,0.006948,192.168.11.20,192.168.11.12,TCP,74,0.006948,,0.006948,"Jan  6, 2024 19:36:12.880910000 JST",,"6000  >  53982 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=780898723 TSecr=775406051 WS=128"
3,0.007063,192.168.11.12,192.168.11.20,TCP,66,0.000115,,0.000115,"Jan  6, 2024 19:36:12.881025000 JST",,53982  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=775406061 TSecr=780898723
4,0.007252,192.168.11.12,192.168.11.20,TCP,93,,,0.000189,"Jan  6, 2024 19:36:12.881214000 JST",,"53982  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=775406062 TSecr=780898723 [TCP segment of a reassembled PDU]"
5,0.007391,192.168.11.12,192.168.11.20,TCP,66,,,0.000139,"Jan  6, 2024 19:36:12.881353000 JST",,"53982  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=775406062 TSecr=780898723"
6,0.014714,192.168.11.20,192.168.11.12,TCP,66,0.007462,,0.007323,"Jan  6, 2024 19:36:12.888676000 JST",,6000  >  53982 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=780898730 TSecr=775406062
7,0.014946,192.168.11.20,192.168.11.12,TCP,66,0.007555,,0.000232,"Jan  6, 2024 19:36:12.888908000 JST",,"6000  >  53982 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=780898732 TSecr=775406062"
8,0.014993,192.168.11.12,192.168.11.20,TCP,66,0.000047,,0.000047,"Jan  6, 2024 19:36:12.888955000 JST",,53982  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=775406069 TSecr=780898732
9,0.042633,192.168.11.12,255.255.255.255,UDP,209,,Ÿ,0.02764,"Jan  6, 2024 19:36:12.916595000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,59901  >  7000 Len=167
10,0.051189,192.168.11.32,192.168.11.12,TCP,74,,œ,0.008556,"Jan  6, 2024 19:36:12.925151000 JST",,46422  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1208401068 TSecr=0 WS=128
