No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.32,192.168.11.12,TCP,74,,,0,"Jan  6, 2024 19:36:12.920129000 JST",,46422  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1208401068 TSecr=0 WS=128
2,0.006695,192.168.11.12,192.168.11.32,TCP,74,0.006695,,0.006695,"Jan  6, 2024 19:36:12.926824000 JST",,"6000  >  46422 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3750502038 TSecr=1208401068 WS=128"
3,0.006816,192.168.11.32,192.168.11.12,TCP,66,0.000121,,0.000121,"Jan  6, 2024 19:36:12.926945000 JST",,46422  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1208401078 TSecr=3750502038
4,0.007115,192.168.11.32,192.168.11.12,TCP,93,,,0.000299,"Jan  6, 2024 19:36:12.927244000 JST",,"46422  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1208401078 TSecr=3750502038 [TCP segment of a reassembled PDU]"
5,0.007268,192.168.11.32,192.168.11.12,TCP,66,,,0.000153,"Jan  6, 2024 19:36:12.927397000 JST",,"46422  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1208401078 TSecr=3750502038"
6,0.015947,192.168.11.12,192.168.11.32,TCP,66,0.008832,,0.008679,"Jan  6, 2024 19:36:12.936076000 JST",,6000  >  46422 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3750502046 TSecr=1208401078
7,0.016173,192.168.11.12,192.168.11.32,TCP,66,0.008905,,0.000226,"Jan  6, 2024 19:36:12.936302000 JST",,"6000  >  46422 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3750502048 TSecr=1208401078"
8,0.016223,192.168.11.32,192.168.11.12,TCP,66,0.00005,,0.00005,"Jan  6, 2024 19:36:12.936352000 JST",,46422  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1208401087 TSecr=3750502048
9,0.044826,192.168.11.32,255.255.255.255,UDP,209,,Ÿ,0.028603,"Jan  6, 2024 19:36:12.964955000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022767676222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,34279  >  7000 Len=167
10,0.054337,192.168.11.18,192.168.11.32,TCP,74,,œ,0.009511,"Jan  6, 2024 19:36:12.974466000 JST",,48542  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2989362458 TSecr=0 WS=128
11,0.054484,192.168.11.32,192.168.11.18,TCP,74,0.000147,,0.000147,"Jan  6, 2024 19:36:12.974613000 JST",,"6000  >  48542 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3214861407 TSecr=2989362458 WS=128"
12,0.061127,192.168.11.18,192.168.11.32,TCP,66,0.006643,,0.006643,"Jan  6, 2024 19:36:12.981256000 JST",,48542  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2989362468 TSecr=3214861407
13,0.061732,192.168.11.18,192.168.11.32,TCP,93,,,0.000605,"Jan  6, 2024 19:36:12.981861000 JST",,"48542  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2989362469 TSecr=3214861407 [TCP segment of a reassembled PDU]"
14,0.061837,192.168.11.32,192.168.11.18,TCP,66,0.000105,,0.000105,"Jan  6, 2024 19:36:12.981966000 JST",,6000  >  48542 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3214861415 TSecr=2989362469
15,0.061906,192.168.11.18,192.168.11.32,TCP,66,,,0.000069,"Jan  6, 2024 19:36:12.982035000 JST",,"48542  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2989362469 TSecr=3214861407"
16,0.063316,192.168.11.32,192.168.11.18,TCP,66,0.00141,,0.00141,"Jan  6, 2024 19:36:12.983445000 JST",,"6000  >  48542 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3214861416 TSecr=2989362469"
17,0.069603,192.168.11.18,192.168.11.32,TCP,66,0.006287,,0.006287,"Jan  6, 2024 19:36:12.989732000 JST",,48542  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2989362476 TSecr=3214861416
