No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.18,192.168.11.32,TCP,74,,,0,"Jan  6, 2024 19:36:12.979114000 JST",,48542  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2989362458 TSecr=0 WS=128
2,0.006605,192.168.11.32,192.168.11.18,TCP,74,0.006605,,0.006605,"Jan  6, 2024 19:36:12.985719000 JST",,"6000  >  48542 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3214861407 TSecr=2989362458 WS=128"
3,0.006729,192.168.11.18,192.168.11.32,TCP,66,0.000124,,0.000124,"Jan  6, 2024 19:36:12.985843000 JST",,48542  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2989362468 TSecr=3214861407
4,0.007162,192.168.11.18,192.168.11.32,TCP,93,,,0.000433,"Jan  6, 2024 19:36:12.986276000 JST",,"48542  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2989362469 TSecr=3214861407 [TCP segment of a reassembled PDU]"
5,0.007301,192.168.11.18,192.168.11.32,TCP,66,,,0.000139,"Jan  6, 2024 19:36:12.986415000 JST",,"48542  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2989362469 TSecr=3214861407"
6,0.014304,192.168.11.32,192.168.11.18,TCP,66,0.007142,,0.007003,"Jan  6, 2024 19:36:12.993418000 JST",,6000  >  48542 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3214861415 TSecr=2989362469
7,0.014532,192.168.11.32,192.168.11.18,TCP,66,0.007231,,0.000228,"Jan  6, 2024 19:36:12.993646000 JST",,"6000  >  48542 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3214861416 TSecr=2989362469"
8,0.014581,192.168.11.18,192.168.11.32,TCP,66,0.000049,,0.000049,"Jan  6, 2024 19:36:12.993695000 JST",,48542  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2989362476 TSecr=3214861416
9,0.045677,192.168.11.18,255.255.255.255,UDP,209,,Ÿ,0.031096,"Jan  6, 2024 19:36:13.024791000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022777777222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,43819  >  7000 Len=167
10,0.055171,192.168.11.33,192.168.11.18,TCP,74,,œ,0.009494,"Jan  6, 2024 19:36:13.034285000 JST",,33164  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3756295530 TSecr=0 WS=128
11,0.055351,192.168.11.18,192.168.11.33,TCP,74,0.00018,,0.00018,"Jan  6, 2024 19:36:13.034465000 JST",,"6000  >  33164 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2450201074 TSecr=3756295530 WS=128"
12,0.062359,192.168.11.33,192.168.11.18,TCP,66,0.007008,,0.007008,"Jan  6, 2024 19:36:13.041473000 JST",,33164  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3756295541 TSecr=2450201074
13,0.06306,192.168.11.33,192.168.11.18,TCP,93,,,0.000701,"Jan  6, 2024 19:36:13.042174000 JST",,"33164  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3756295541 TSecr=2450201074 [TCP segment of a reassembled PDU]"
14,0.063158,192.168.11.18,192.168.11.33,TCP,66,0.000098,,0.000098,"Jan  6, 2024 19:36:13.042272000 JST",,6000  >  33164 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2450201082 TSecr=3756295541
15,0.063239,192.168.11.33,192.168.11.18,TCP,66,,,0.000081,"Jan  6, 2024 19:36:13.042353000 JST",,"33164  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3756295541 TSecr=2450201074"
16,0.065546,192.168.11.18,192.168.11.33,TCP,66,0.002307,,0.002307,"Jan  6, 2024 19:36:13.044660000 JST",,"6000  >  33164 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2450201084 TSecr=3756295541"
17,0.073084,192.168.11.33,192.168.11.18,TCP,66,0.007538,,0.007538,"Jan  6, 2024 19:36:13.052198000 JST",,33164  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3756295551 TSecr=2450201084
18,9.30493,192.168.11.18,192.168.11.32,TCP,74,,,9.231846,"Jan  6, 2024 19:36:22.284044000 JST",,54868  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2989371767 TSecr=0 WS=128
19,9.312636,192.168.11.32,192.168.11.18,TCP,74,0.007706,,0.007706,"Jan  6, 2024 19:36:22.291750000 JST",,"6000  >  54868 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3214870713 TSecr=2989371767 WS=128"
