No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.33,192.168.11.18,TCP,74,,,0,"Jan  6, 2024 19:36:13.025947000 JST",,33164  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3756295530 TSecr=0 WS=128
2,0.006777,192.168.11.18,192.168.11.33,TCP,74,0.006777,,0.006777,"Jan  6, 2024 19:36:13.032724000 JST",,"6000  >  33164 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2450201074 TSecr=3756295530 WS=128"
3,0.0069,192.168.11.33,192.168.11.18,TCP,66,0.000123,,0.000123,"Jan  6, 2024 19:36:13.032847000 JST",,33164  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3756295541 TSecr=2450201074
4,0.007117,192.168.11.33,192.168.11.18,TCP,93,,,0.000217,"Jan  6, 2024 19:36:13.033064000 JST",,"33164  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3756295541 TSecr=2450201074 [TCP segment of a reassembled PDU]"
5,0.00725,192.168.11.33,192.168.11.18,TCP,66,,,0.000133,"Jan  6, 2024 19:36:13.033197000 JST",,"33164  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3756295541 TSecr=2450201074"
6,0.014792,192.168.11.18,192.168.11.33,TCP,66,0.007675,,0.007542,"Jan  6, 2024 19:36:13.040739000 JST",,6000  >  33164 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2450201082 TSecr=3756295541
7,0.017361,192.168.11.18,192.168.11.33,TCP,66,0.010111,,0.002569,"Jan  6, 2024 19:36:13.043308000 JST",,"6000  >  33164 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2450201084 TSecr=3756295541"
8,0.017409,192.168.11.33,192.168.11.18,TCP,66,0.000048,,0.000048,"Jan  6, 2024 19:36:13.043356000 JST",,33164  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3756295551 TSecr=2450201084
9,0.051747,192.168.11.33,255.255.255.255,UDP,209,,Ÿ,0.034338,"Jan  6, 2024 19:36:13.077694000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022787878222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,56944  >  7000 Len=167
10,0.065117,192.168.11.22,192.168.11.33,TCP,74,,œ,0.01337,"Jan  6, 2024 19:36:13.091064000 JST",,36670  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=240562892 TSecr=0 WS=128
11,0.065295,192.168.11.33,192.168.11.22,TCP,74,0.000178,,0.000178,"Jan  6, 2024 19:36:13.091242000 JST",,"6000  >  36670 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1145410668 TSecr=240562892 WS=128"
12,0.072203,192.168.11.22,192.168.11.33,TCP,66,0.006908,,0.006908,"Jan  6, 2024 19:36:13.098150000 JST",,36670  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=240562906 TSecr=1145410668
13,0.072783,192.168.11.22,192.168.11.33,TCP,93,,,0.00058,"Jan  6, 2024 19:36:13.098730000 JST",,"36670  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=240562906 TSecr=1145410668 [TCP segment of a reassembled PDU]"
14,0.07286,192.168.11.33,192.168.11.22,TCP,66,0.000077,,0.000077,"Jan  6, 2024 19:36:13.098807000 JST",,6000  >  36670 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1145410676 TSecr=240562906
15,0.072938,192.168.11.22,192.168.11.33,TCP,66,,,0.000078,"Jan  6, 2024 19:36:13.098885000 JST",,"36670  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=240562907 TSecr=1145410668"
16,0.074077,192.168.11.33,192.168.11.22,TCP,66,0.001139,,0.001139,"Jan  6, 2024 19:36:13.100024000 JST",,"6000  >  36670 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1145410677 TSecr=240562907"
17,0.080116,192.168.11.22,192.168.11.33,TCP,66,0.006039,,0.006039,"Jan  6, 2024 19:36:13.106063000 JST",,36670  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=240562914 TSecr=1145410677
18,9.305793,192.168.11.33,192.168.11.18,TCP,74,,,9.225677,"Jan  6, 2024 19:36:22.331740000 JST",,47374  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3756304840 TSecr=0 WS=128
19,9.312918,192.168.11.18,192.168.11.33,TCP,74,0.007125,,0.007125,"Jan  6, 2024 19:36:22.338865000 JST",,"6000  >  47374 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2450210380 TSecr=3756304840 WS=128"
20,9.31304,192.168.11.33,192.168.11.18,TCP,66,0.000122,,0.000122,"Jan  6, 2024 19:36:22.338987000 JST",,47374  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3756304847 TSecr=2450210380
21,9.313177,192.168.11.33,192.168.11.18,TCP,93,,,0.000137,"Jan  6, 2024 19:36:22.339124000 JST",,"47374  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3756304847 TSecr=2450210380 [TCP segment of a reassembled PDU]"
22,9.313323,192.168.11.33,192.168.11.18,TCP,66,,,0.000146,"Jan  6, 2024 19:36:22.339270000 JST",,"47374  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3756304847 TSecr=2450210380"
23,9.319942,192.168.11.18,192.168.11.33,TCP,66,0.006765,,0.006619,"Jan  6, 2024 19:36:22.345889000 JST",,6000  >  47374 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2450210387 TSecr=3756304847
24,9.320514,192.168.11.18,192.168.11.33,TCP,66,0.007191,,0.000572,"Jan  6, 2024 19:36:22.346461000 JST",,"6000  >  47374 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2450210388 TSecr=3756304847"
25,9.320585,192.168.11.33,192.168.11.18,TCP,66,0.000071,,0.000071,"Jan  6, 2024 19:36:22.346532000 JST",,47374  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3756304855 TSecr=2450210388
26,9.351539,192.168.11.33,255.255.255.255,UDP,209,,Ÿ,0.030954,"Jan  6, 2024 19:36:22.377486000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022787878222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,34537  >  7000 Len=167
27,9.358313,192.168.11.22,192.168.11.33,TCP,74,,œ,0.006774,"Jan  6, 2024 19:36:22.384260000 JST",,54264  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=240572191 TSecr=0 WS=128
28,9.358464,192.168.11.33,192.168.11.22,TCP,74,0.000151,,0.000151,"Jan  6, 2024 19:36:22.384411000 JST",,"6000  >  54264 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1145419961 TSecr=240572191 WS=128"
29,9.365395,192.168.11.22,192.168.11.33,TCP,66,0.006931,,0.006931,"Jan  6, 2024 19:36:22.391342000 JST",,54264  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=240572199 TSecr=1145419961
30,9.365934,192.168.11.22,192.168.11.33,TCP,93,,,0.000539,"Jan  6, 2024 19:36:22.391881000 JST",,"54264  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=240572200 TSecr=1145419961 [TCP segment of a reassembled PDU]"
31,9.366034,192.168.11.33,192.168.11.22,TCP,66,0.0001,,0.0001,"Jan  6, 2024 19:36:22.391981000 JST",,6000  >  54264 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1145419969 TSecr=240572200
32,9.366106,192.168.11.22,192.168.11.33,TCP,66,,,0.000072,"Jan  6, 2024 19:36:22.392053000 JST",,"54264  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=240572200 TSecr=1145419961"
33,9.367224,192.168.11.33,192.168.11.22,TCP,66,0.001118,,0.001118,"Jan  6, 2024 19:36:22.393171000 JST",,"6000  >  54264 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1145419970 TSecr=240572200"
34,9.373693,192.168.11.22,192.168.11.33,TCP,66,0.006469,,0.006469,"Jan  6, 2024 19:36:22.399640000 JST",,54264  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=240572207 TSecr=1145419970
35,19.167843,192.168.11.33,192.168.11.18,TCP,74,,,9.79415,"Jan  6, 2024 19:36:32.193790000 JST",,52498  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3756314702 TSecr=0 WS=128
36,19.17462,192.168.11.18,192.168.11.33,TCP,74,0.006777,,0.006777,"Jan  6, 2024 19:36:32.200567000 JST",,"6000  >  52498 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2450220242 TSecr=3756314702 WS=128"
37,19.174729,192.168.11.33,192.168.11.18,TCP,66,0.000109,,0.000109,"Jan  6, 2024 19:36:32.200676000 JST",,52498  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3756314709 TSecr=2450220242
38,19.174871,192.168.11.33,192.168.11.18,TCP,93,,,0.000142,"Jan  6, 2024 19:36:32.200818000 JST",,"52498  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3756314709 TSecr=2450220242 [TCP segment of a reassembled PDU]"
39,19.174964,192.168.11.33,192.168.11.18,TCP,66,,,0.000093,"Jan  6, 2024 19:36:32.200911000 JST",,"52498  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3756314709 TSecr=2450220242"
40,19.181925,192.168.11.18,192.168.11.33,TCP,66,0.007054,,0.006961,"Jan  6, 2024 19:36:32.207872000 JST",,6000  >  52498 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2450220249 TSecr=3756314709
41,19.182282,192.168.11.18,192.168.11.33,TCP,66,0.007318,,0.000357,"Jan  6, 2024 19:36:32.208229000 JST",,"6000  >  52498 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2450220250 TSecr=3756314709"
42,19.182329,192.168.11.33,192.168.11.18,TCP,66,0.000047,,0.000047,"Jan  6, 2024 19:36:32.208276000 JST",,52498  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3756314716 TSecr=2450220250
43,19.216014,192.168.11.33,255.255.255.255,UDP,209,,Ÿ,0.033685,"Jan  6, 2024 19:36:32.241961000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022787878222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,39824  >  7000 Len=167
44,19.221765,192.168.11.22,192.168.11.33,TCP,74,,œ,0.005751,"Jan  6, 2024 19:36:32.247712000 JST",,51490  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=240582056 TSecr=0 WS=128
