No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.22,192.168.11.33,TCP,74,,,0,"Jan  6, 2024 19:36:13.080235000 JST",,36670  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=240562892 TSecr=0 WS=128
2,0.010545,192.168.11.33,192.168.11.22,TCP,74,0.010545,,0.010545,"Jan  6, 2024 19:36:13.090780000 JST",,"6000  >  36670 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1145410668 TSecr=240562892 WS=128"
3,0.010661,192.168.11.22,192.168.11.33,TCP,66,0.000116,,0.000116,"Jan  6, 2024 19:36:13.090896000 JST",,36670  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=240562906 TSecr=1145410668
4,0.01085,192.168.11.22,192.168.11.33,TCP,93,,,0.000189,"Jan  6, 2024 19:36:13.091085000 JST",,"36670  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=240562906 TSecr=1145410668 [TCP segment of a reassembled PDU]"
5,0.011023,192.168.11.22,192.168.11.33,TCP,66,,,0.000173,"Jan  6, 2024 19:36:13.091258000 JST",,"36670  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=240562907 TSecr=1145410668"
6,0.018239,192.168.11.33,192.168.11.22,TCP,66,0.007389,,0.007216,"Jan  6, 2024 19:36:13.098474000 JST",,6000  >  36670 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1145410676 TSecr=240562906
7,0.018624,192.168.11.33,192.168.11.22,TCP,66,0.007601,,0.000385,"Jan  6, 2024 19:36:13.098859000 JST",,"6000  >  36670 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1145410677 TSecr=240562907"
8,0.018674,192.168.11.22,192.168.11.33,TCP,66,0.00005,,0.00005,"Jan  6, 2024 19:36:13.098909000 JST",,36670  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=240562914 TSecr=1145410677
9,0.048818,192.168.11.22,255.255.255.255,UDP,209,,Ÿ,0.030144,"Jan  6, 2024 19:36:13.129053000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022797979222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,54099  >  7000 Len=167
10,0.057494,192.168.11.35,192.168.11.22,TCP,74,,œ,0.008676,"Jan  6, 2024 19:36:13.137729000 JST",,54488  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1664350789 TSecr=0 WS=128
11,0.057653,192.168.11.22,192.168.11.35,TCP,74,0.000159,,0.000159,"Jan  6, 2024 19:36:13.137888000 JST",,"6000  >  54488 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2848109696 TSecr=1664350789 WS=128"
12,0.064537,192.168.11.35,192.168.11.22,TCP,66,0.006884,,0.006884,"Jan  6, 2024 19:36:13.144772000 JST",,54488  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1664350799 TSecr=2848109696
13,0.06514,192.168.11.35,192.168.11.22,TCP,93,,,0.000603,"Jan  6, 2024 19:36:13.145375000 JST",,"54488  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1664350799 TSecr=2848109696 [TCP segment of a reassembled PDU]"
14,0.065243,192.168.11.22,192.168.11.35,TCP,66,0.000103,,0.000103,"Jan  6, 2024 19:36:13.145478000 JST",,6000  >  54488 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2848109704 TSecr=1664350799
15,0.06533,192.168.11.35,192.168.11.22,TCP,66,,,0.000087,"Jan  6, 2024 19:36:13.145565000 JST",,"54488  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1664350799 TSecr=2848109696"
16,0.068202,192.168.11.22,192.168.11.35,TCP,66,0.002872,,0.002872,"Jan  6, 2024 19:36:13.148437000 JST",,"6000  >  54488 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2848109707 TSecr=1664350799"
17,0.079963,192.168.11.35,192.168.11.22,TCP,66,0.011761,,0.011761,"Jan  6, 2024 19:36:13.160198000 JST",,54488  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1664350810 TSecr=2848109707
18,9.295965,192.168.11.22,192.168.11.33,TCP,74,,,9.216002,"Jan  6, 2024 19:36:22.376200000 JST",,54264  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=240572191 TSecr=0 WS=128
19,9.303755,192.168.11.33,192.168.11.22,TCP,74,0.00779,,0.00779,"Jan  6, 2024 19:36:22.383990000 JST",,"6000  >  54264 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1145419961 TSecr=240572191 WS=128"
20,9.303864,192.168.11.22,192.168.11.33,TCP,66,0.000109,,0.000109,"Jan  6, 2024 19:36:22.384099000 JST",,54264  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=240572199 TSecr=1145419961
21,9.30405,192.168.11.22,192.168.11.33,TCP,93,,,0.000186,"Jan  6, 2024 19:36:22.384285000 JST",,"54264  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=240572200 TSecr=1145419961 [TCP segment of a reassembled PDU]"
22,9.304195,192.168.11.22,192.168.11.33,TCP,66,,,0.000145,"Jan  6, 2024 19:36:22.384430000 JST",,"54264  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=240572200 TSecr=1145419961"
23,9.311399,192.168.11.33,192.168.11.22,TCP,66,0.007349,,0.007204,"Jan  6, 2024 19:36:22.391634000 JST",,6000  >  54264 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1145419969 TSecr=240572200
24,9.311778,192.168.11.33,192.168.11.22,TCP,66,0.007583,,0.000379,"Jan  6, 2024 19:36:22.392013000 JST",,"6000  >  54264 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1145419970 TSecr=240572200"
25,9.311828,192.168.11.22,192.168.11.33,TCP,66,0.00005,,0.00005,"Jan  6, 2024 19:36:22.392063000 JST",,54264  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=240572207 TSecr=1145419970
26,9.344015,192.168.11.22,255.255.255.255,UDP,209,,Ÿ,0.032187,"Jan  6, 2024 19:36:22.424250000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022797979222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,35698  >  7000 Len=167
27,9.349911,192.168.11.35,192.168.11.22,TCP,74,,œ,0.005896,"Jan  6, 2024 19:36:22.430146000 JST",,51656  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1664360084 TSecr=0 WS=128
28,9.350093,192.168.11.22,192.168.11.35,TCP,74,0.000182,,0.000182,"Jan  6, 2024 19:36:22.430328000 JST",,"6000  >  51656 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2848118989 TSecr=1664360084 WS=128"
29,9.366879,192.168.11.35,192.168.11.22,TCP,66,0.016786,,0.016786,"Jan  6, 2024 19:36:22.447114000 JST",,51656  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1664360092 TSecr=2848118989
30,9.367438,192.168.11.35,192.168.11.22,TCP,93,,,0.000559,"Jan  6, 2024 19:36:22.447673000 JST",,"51656  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1664360092 TSecr=2848118989 [TCP segment of a reassembled PDU]"
31,9.367521,192.168.11.22,192.168.11.35,TCP,66,0.000083,,0.000083,"Jan  6, 2024 19:36:22.447756000 JST",,6000  >  51656 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2848119006 TSecr=1664360092
32,9.367594,192.168.11.35,192.168.11.22,TCP,66,,,0.000073,"Jan  6, 2024 19:36:22.447829000 JST",,"51656  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1664360092 TSecr=2848118989"
33,9.369488,192.168.11.22,192.168.11.35,TCP,66,0.001894,,0.001894,"Jan  6, 2024 19:36:22.449723000 JST",,"6000  >  51656 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2848119008 TSecr=1664360092"
34,9.37381,192.168.11.35,192.168.11.22,TCP,66,0.004322,,0.004322,"Jan  6, 2024 19:36:22.454045000 JST",,51656  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1664360109 TSecr=2848119008
35,19.160413,192.168.11.22,192.168.11.33,TCP,74,,,9.786603,"Jan  6, 2024 19:36:32.240648000 JST",,51490  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=240582056 TSecr=0 WS=128
36,19.167393,192.168.11.33,192.168.11.22,TCP,74,0.00698,,0.00698,"Jan  6, 2024 19:36:32.247628000 JST",,"6000  >  51490 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1145429825 TSecr=240582056 WS=128"
37,19.167507,192.168.11.22,192.168.11.33,TCP,66,0.000114,,0.000114,"Jan  6, 2024 19:36:32.247742000 JST",,51490  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=240582063 TSecr=1145429825
38,19.167713,192.168.11.22,192.168.11.33,TCP,93,,,0.000206,"Jan  6, 2024 19:36:32.247948000 JST",,"51490  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=240582063 TSecr=1145429825 [TCP segment of a reassembled PDU]"
39,19.167819,192.168.11.22,192.168.11.33,TCP,66,,,0.000106,"Jan  6, 2024 19:36:32.248054000 JST",,"51490  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=240582063 TSecr=1145429825"
40,19.175183,192.168.11.33,192.168.11.22,TCP,66,0.00747,,0.007364,"Jan  6, 2024 19:36:32.255418000 JST",,6000  >  51490 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1145429833 TSecr=240582063
