No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Arrival Time,Data,Info
9,0.051444,192.168.11.35,255.255.255.255,UDP,209,0.033705,Ÿ,"Jan  6, 2024 19:36:13.194365000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20227a7a7a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47945  >  7000 Len=167
10,0.063105,192.168.11.34,192.168.11.35,TCP,74,0.011661,œ,"Jan  6, 2024 19:36:13.206026000 JST",,50418  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=158640082 TSecr=0 WS=128
26,9.350682,192.168.11.35,255.255.255.255,UDP,209,0.033652,Ÿ,"Jan  6, 2024 19:36:22.493603000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20227a7a7a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,33207  >  7000 Len=167
27,9.361826,192.168.11.34,192.168.11.35,TCP,74,0.011144,œ,"Jan  6, 2024 19:36:22.504747000 JST",,52298  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=158649383 TSecr=0 WS=128
28,9.361984,192.168.11.35,192.168.11.34,TCP,74,0.000158,,"Jan  6, 2024 19:36:22.504905000 JST",,"6000  >  52298 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=548193143 TSecr=158649383 WS=128"
29,9.369278,192.168.11.34,192.168.11.35,TCP,66,0.007294,,"Jan  6, 2024 19:36:22.512199000 JST",,52298  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=158649391 TSecr=548193143
30,9.369815,192.168.11.34,192.168.11.35,TCP,93,0.000537,,"Jan  6, 2024 19:36:22.512736000 JST",,"52298  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=158649391 TSecr=548193143 [TCP segment of a reassembled PDU]"
31,9.369889,192.168.11.35,192.168.11.34,TCP,66,0.000074,,"Jan  6, 2024 19:36:22.512810000 JST",,6000  >  52298 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=548193151 TSecr=158649391
32,9.369959,192.168.11.34,192.168.11.35,TCP,66,0.00007,,"Jan  6, 2024 19:36:22.512880000 JST",,"52298  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=158649391 TSecr=548193143"
33,9.371269,192.168.11.35,192.168.11.34,TCP,66,0.00131,,"Jan  6, 2024 19:36:22.514190000 JST",,"6000  >  52298 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=548193152 TSecr=158649391"
34,9.377928,192.168.11.34,192.168.11.35,TCP,66,0.006659,,"Jan  6, 2024 19:36:22.520849000 JST",,52298  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=158649399 TSecr=548193152
35,19.157091,192.168.11.35,192.168.11.22,TCP,74,9.779163,,"Jan  6, 2024 19:36:32.300012000 JST",,44172  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1664369949 TSecr=0 WS=128
36,19.16404,192.168.11.22,192.168.11.35,TCP,74,0.006949,,"Jan  6, 2024 19:36:32.306961000 JST",,"6000  >  44172 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2848128853 TSecr=1664369949 WS=128"
37,19.164133,192.168.11.35,192.168.11.22,TCP,66,0.000093,,"Jan  6, 2024 19:36:32.307054000 JST",,44172  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1664369956 TSecr=2848128853
38,19.164291,192.168.11.35,192.168.11.22,TCP,93,0.000158,,"Jan  6, 2024 19:36:32.307212000 JST",,"44172  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1664369956 TSecr=2848128853 [TCP segment of a reassembled PDU]"
39,19.164428,192.168.11.35,192.168.11.22,TCP,66,0.000137,,"Jan  6, 2024 19:36:32.307349000 JST",,"44172  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1664369957 TSecr=2848128853"
40,19.171386,192.168.11.22,192.168.11.35,TCP,66,0.006958,,"Jan  6, 2024 19:36:32.314307000 JST",,6000  >  44172 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2848128860 TSecr=1664369956
41,19.171768,192.168.11.22,192.168.11.35,TCP,66,0.000382,,"Jan  6, 2024 19:36:32.314689000 JST",,"6000  >  44172 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2848128862 TSecr=1664369957"
42,19.171819,192.168.11.35,192.168.11.22,TCP,66,0.000051,,"Jan  6, 2024 19:36:32.314740000 JST",,44172  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1664369964 TSecr=2848128862
43,19.199033,192.168.11.35,255.255.255.255,UDP,209,0.027214,Ÿ,"Jan  6, 2024 19:36:32.341954000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20227a7a7a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,38586  >  7000 Len=167
44,19.207958,192.168.11.34,192.168.11.35,TCP,74,0.008925,œ,"Jan  6, 2024 19:36:32.350879000 JST",,41558  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=158659229 TSecr=0 WS=128
45,19.2081,192.168.11.35,192.168.11.34,TCP,74,0.000142,,"Jan  6, 2024 19:36:32.351021000 JST",,"6000  >  41558 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=548202989 TSecr=158659229 WS=128"
46,19.215431,192.168.11.34,192.168.11.35,TCP,66,0.007331,,"Jan  6, 2024 19:36:32.358352000 JST",,41558  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=158659237 TSecr=548202989
47,19.215974,192.168.11.34,192.168.11.35,TCP,93,0.000543,,"Jan  6, 2024 19:36:32.358895000 JST",,"41558  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=158659237 TSecr=548202989 [TCP segment of a reassembled PDU]"
48,19.216042,192.168.11.35,192.168.11.34,TCP,66,0.000068,,"Jan  6, 2024 19:36:32.358963000 JST",,6000  >  41558 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=548202997 TSecr=158659237
49,19.216108,192.168.11.34,192.168.11.35,TCP,66,0.000066,,"Jan  6, 2024 19:36:32.359029000 JST",,"41558  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=158659237 TSecr=548202989"
50,19.217272,192.168.11.35,192.168.11.34,TCP,66,0.001164,,"Jan  6, 2024 19:36:32.360193000 JST",,"6000  >  41558 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=548202998 TSecr=158659237"
51,19.224081,192.168.11.34,192.168.11.35,TCP,66,0.006809,,"Jan  6, 2024 19:36:32.367002000 JST",,41558  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=158659245 TSecr=548202998
52,29.084134,192.168.11.35,192.168.11.22,TCP,74,9.860053,,"Jan  6, 2024 19:36:42.227055000 JST",,49958  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1664379876 TSecr=0 WS=128
53,29.090761,192.168.11.22,192.168.11.35,TCP,74,0.006627,,"Jan  6, 2024 19:36:42.233682000 JST",,"6000  >  49958 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2848138780 TSecr=1664379876 WS=128"
54,29.09086,192.168.11.35,192.168.11.22,TCP,66,0.000099,,"Jan  6, 2024 19:36:42.233781000 JST",,49958  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1664379883 TSecr=2848138780
55,29.091031,192.168.11.35,192.168.11.22,TCP,93,0.000171,,"Jan  6, 2024 19:36:42.233952000 JST",,"49958  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1664379883 TSecr=2848138780 [TCP segment of a reassembled PDU]"
56,29.091124,192.168.11.35,192.168.11.22,TCP,66,0.000093,,"Jan  6, 2024 19:36:42.234045000 JST",,"49958  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1664379883 TSecr=2848138780"
57,29.097961,192.168.11.22,192.168.11.35,TCP,66,0.006837,,"Jan  6, 2024 19:36:42.240882000 JST",,6000  >  49958 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2848138787 TSecr=1664379883
58,29.098324,192.168.11.22,192.168.11.35,TCP,66,0.000363,,"Jan  6, 2024 19:36:42.241245000 JST",,"6000  >  49958 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2848138788 TSecr=1664379883"
59,29.098386,192.168.11.35,192.168.11.22,TCP,66,0.000062,,"Jan  6, 2024 19:36:42.241307000 JST",,49958  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1664379890 TSecr=2848138788
60,29.125663,192.168.11.35,255.255.255.255,UDP,209,0.027277,Ÿ,"Jan  6, 2024 19:36:42.268584000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20227a7a7a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,42900  >  7000 Len=167
61,29.135844,192.168.11.34,192.168.11.35,TCP,74,0.010181,œ,"Jan  6, 2024 19:36:42.278765000 JST",,37456  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=158669156 TSecr=0 WS=128
62,29.135977,192.168.11.35,192.168.11.34,TCP,74,0.000133,,"Jan  6, 2024 19:36:42.278898000 JST",,"6000  >  37456 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=548212917 TSecr=158669156 WS=128"
63,29.142956,192.168.11.34,192.168.11.35,TCP,66,0.006979,,"Jan  6, 2024 19:36:42.285877000 JST",,37456  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=158669165 TSecr=548212917
64,29.143419,192.168.11.34,192.168.11.35,TCP,93,0.000463,,"Jan  6, 2024 19:36:42.286340000 JST",,"37456  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=158669165 TSecr=548212917 [TCP segment of a reassembled PDU]"
65,29.143485,192.168.11.35,192.168.11.34,TCP,66,0.000066,,"Jan  6, 2024 19:36:42.286406000 JST",,6000  >  37456 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=548212925 TSecr=158669165
66,29.143547,192.168.11.34,192.168.11.35,TCP,66,0.000062,,"Jan  6, 2024 19:36:42.286468000 JST",,"37456  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=158669165 TSecr=548212917"
67,29.144681,192.168.11.35,192.168.11.34,TCP,66,0.001134,,"Jan  6, 2024 19:36:42.287602000 JST",,"6000  >  37456 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=548212926 TSecr=158669165"
68,29.161064,192.168.11.34,192.168.11.35,TCP,66,0.016383,,"Jan  6, 2024 19:36:42.303985000 JST",,37456  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=158669173 TSecr=548212926
69,36.89302,192.168.11.35,192.168.11.22,TCP,74,7.731956,,"Jan  6, 2024 19:36:50.035941000 JST",,58848  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1664387685 TSecr=0 WS=128
70,36.899813,192.168.11.22,192.168.11.35,TCP,74,0.006793,,"Jan  6, 2024 19:36:50.042734000 JST",,"6000  >  58848 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2848146589 TSecr=1664387685 WS=128"
71,36.899921,192.168.11.35,192.168.11.22,TCP,66,0.000108,,"Jan  6, 2024 19:36:50.042842000 JST",,58848  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1664387692 TSecr=2848146589
72,36.900089,192.168.11.35,192.168.11.22,TCP,93,0.000168,,"Jan  6, 2024 19:36:50.043010000 JST",,"58848  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1664387692 TSecr=2848146589 [TCP segment of a reassembled PDU]"
73,36.900181,192.168.11.35,192.168.11.22,TCP,66,0.000092,,"Jan  6, 2024 19:36:50.043102000 JST",,"58848  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1664387692 TSecr=2848146589"
74,36.907177,192.168.11.22,192.168.11.35,TCP,66,0.006996,,"Jan  6, 2024 19:36:50.050098000 JST",,6000  >  58848 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2848146596 TSecr=1664387692
75,36.907555,192.168.11.22,192.168.11.35,TCP,66,0.000378,,"Jan  6, 2024 19:36:50.050476000 JST",,"6000  >  58848 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2848146598 TSecr=1664387692"
76,36.907611,192.168.11.35,192.168.11.22,TCP,66,0.000056,,"Jan  6, 2024 19:36:50.050532000 JST",,58848  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1664387700 TSecr=2848146598
77,36.935494,192.168.11.35,255.255.255.255,UDP,209,0.027883,Ÿ,"Jan  6, 2024 19:36:50.078415000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20227a7a7a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,57819  >  7000 Len=167
78,36.951817,192.168.11.34,192.168.11.35,TCP,74,0.016323,œ,"Jan  6, 2024 19:36:50.094738000 JST",,36522  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=158676965 TSecr=0 WS=128
79,36.951997,192.168.11.35,192.168.11.34,TCP,74,0.00018,,"Jan  6, 2024 19:36:50.094918000 JST",,"6000  >  36522 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=548220733 TSecr=158676965 WS=128"
80,36.965139,192.168.11.34,192.168.11.35,TCP,66,0.013142,,"Jan  6, 2024 19:36:50.108060000 JST",,36522  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=158676982 TSecr=548220733
81,36.965601,192.168.11.34,192.168.11.35,TCP,93,0.000462,,"Jan  6, 2024 19:36:50.108522000 JST",,"36522  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=158676983 TSecr=548220733 [TCP segment of a reassembled PDU]"
82,36.96567,192.168.11.35,192.168.11.34,TCP,66,0.000069,,"Jan  6, 2024 19:36:50.108591000 JST",,6000  >  36522 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=548220747 TSecr=158676983
83,36.965727,192.168.11.34,192.168.11.35,TCP,66,0.000057,,"Jan  6, 2024 19:36:50.108648000 JST",,"36522  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=158676983 TSecr=548220733"
84,36.96649,192.168.11.35,192.168.11.34,TCP,66,0.000763,,"Jan  6, 2024 19:36:50.109411000 JST",,"6000  >  36522 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=548220748 TSecr=158676983"
85,36.973353,192.168.11.34,192.168.11.35,TCP,66,0.006863,,"Jan  6, 2024 19:36:50.116274000 JST",,36522  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=158676995 TSecr=548220748
86,44.708627,192.168.11.35,192.168.11.22,TCP,74,7.735274,,"Jan  6, 2024 19:36:57.851548000 JST",,44914  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1664395501 TSecr=0 WS=128
87,44.715205,192.168.11.22,192.168.11.35,TCP,74,0.006578,,"Jan  6, 2024 19:36:57.858126000 JST",,"6000  >  44914 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2848154404 TSecr=1664395501 WS=128"
88,44.715298,192.168.11.35,192.168.11.22,TCP,66,0.000093,,"Jan  6, 2024 19:36:57.858219000 JST",,44914  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1664395507 TSecr=2848154404
89,44.715442,192.168.11.35,192.168.11.22,TCP,93,0.000144,,"Jan  6, 2024 19:36:57.858363000 JST",,"44914  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1664395508 TSecr=2848154404 [TCP segment of a reassembled PDU]"
90,44.715534,192.168.11.35,192.168.11.22,TCP,66,0.000092,,"Jan  6, 2024 19:36:57.858455000 JST",,"44914  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1664395508 TSecr=2848154404"
91,44.722486,192.168.11.22,192.168.11.35,TCP,66,0.006952,,"Jan  6, 2024 19:36:57.865407000 JST",,6000  >  44914 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2848154412 TSecr=1664395508
92,44.722871,192.168.11.22,192.168.11.35,TCP,66,0.000385,,"Jan  6, 2024 19:36:57.865792000 JST",,"6000  >  44914 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2848154413 TSecr=1664395508"
93,44.722915,192.168.11.35,192.168.11.22,TCP,66,0.000044,,"Jan  6, 2024 19:36:57.865836000 JST",,44914  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1664395515 TSecr=2848154413
